"",BBK01.OEAH27I,BBK01.OEAH27I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:29,
2002-01,1.697,
2002-04,1.600,
2002-07,1.597,
2002-10,1.522,
2003-01,1.385,
2003-04,1.304,
2003-07,1.141,
2003-10,1.118,
2004-01,0.992,
2004-04,0.947,
2004-07,0.910,
2004-10,0.933,
2005-01,0.995,
2005-04,0.952,
2005-07,0.841,
2005-10,0.781,
2006-01,0.769,
2006-04,0.824,
2006-07,0.890,
2006-10,1.005,
2007-01,1.268,
2007-04,1.345,
2007-07,1.445,
2007-10,1.610,
2008-01,1.648,
2008-04,1.698,
2008-07,1.787,
2008-10,2.138,
2009-01,2.038,
2009-04,2.280,
2009-07,2.330,
2009-10,2.092,
2010-01,2.536,
2010-04,2.679,
2010-07,3.151,
2010-10,3.578,
2011-01,4.030,
2011-04,4.106,
2011-07,4.166,
2011-10,4.261,
2012-01,4.309,
2012-04,4.315,
2012-07,4.100,
2012-10,4.058,
2013-01,3.984,
2013-04,3.866,
2013-07,3.813,
2013-10,3.806,
2014-01,3.825,
2014-04,3.833,
2014-07,4.036,
