"",BBK01.OEAH05K,BBK01.OEAH05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:30,
2002-01,31.960,
2002-04,31.985,
2002-07,33.068,
2002-10,33.410,
2003-01,33.932,
2003-04,34.404,
2003-07,34.732,
2003-10,34.654,
2004-01,34.683,
2004-04,35.883,
2004-07,34.849,
2004-10,26.658,
2005-01,26.849,
2005-04,28.537,
2005-07,29.403,
2005-10,30.128,
2006-01,30.993,
2006-04,32.761,
2006-07,38.657,
2006-10,36.571,
2007-01,36.830,
2007-04,37.749,
2007-07,37.744,
2007-10,37.670,
2008-01,37.712,
2008-04,37.609,
2008-07,37.650,
2008-10,37.585,
2009-01,35.482,
2009-04,35.597,
2009-07,35.283,
2009-10,34.369,
2010-01,33.939,
2010-04,33.743,
2010-07,33.433,
2010-10,32.914,
2011-01,32.344,
2011-04,31.634,
2011-07,24.876,
2011-10,25.165,
2012-01,24.395,
2012-04,24.648,
2012-07,24.457,
2012-10,23.987,
2013-01,23.817,
2013-04,23.830,
2013-07,25.290,
2013-10,24.676,
2014-01,23.787,
2014-04,24.020,
2014-07,22.238,
