"",BBK01.OEHJ01M,BBK01.OEHJ01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:14,
2002-01,6.060,
2002-04,6.247,
2002-07,6.325,
2002-10,6.564,
2003-01,6.476,
2003-04,6.296,
2003-07,6.465,
2003-10,6.739,
2004-01,6.520,
2004-04,6.600,
2004-07,6.760,
2004-10,6.973,
2005-01,6.598,
2005-04,6.757,
2005-07,7.027,
2005-10,7.284,
2006-01,6.941,
2006-04,6.967,
2006-07,7.179,
2006-10,7.439,
2007-01,7.176,
2007-04,7.310,
2007-07,7.626,
2007-10,7.786,
2008-01,7.458,
2008-04,7.642,
2008-07,8.174,
2008-10,8.869,
2009-01,8.900,
2009-04,8.664,
2009-07,9.164,
2009-10,9.512,
2010-01,9.494,
2010-04,9.878,
2010-07,9.993,
2010-10,10.100,
2011-01,9.756,
2011-04,9.962,
2011-07,10.462,
2011-10,10.635,
2012-01,10.285,
2012-04,10.117,
2012-07,10.616,
2012-10,10.683,
2013-01,10.649,
2013-04,10.655,
2013-07,11.109,
2013-10,11.000,
2014-01,10.982,
2014-04,11.203,
2014-07,11.180,
