"",BBK01.OEAD15O,BBK01.OEAD15O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:45,
2002-01,0.239,
2002-04,0.257,
2002-07,0.238,
2002-10,0.214,
2003-01,0.233,
2003-04,0.220,
2003-07,0.223,
2003-10,0.210,
2004-01,0.238,
2004-04,0.234,
2004-07,0.235,
2004-10,0.226,
2005-01,0.250,
2005-04,0.239,
2005-07,0.262,
2005-10,0.229,
2006-01,0.269,
2006-04,0.265,
2006-07,0.271,
2006-10,0.272,
2007-01,0.279,
2007-04,0.297,
2007-07,0.275,
2007-10,0.254,
2008-01,0.266,
2008-04,0.248,
2008-07,0.245,
2008-10,0.237,
2009-01,0.240,
2009-04,0.210,
2009-07,0.181,
2009-10,0.155,
2010-01,0.151,
2010-04,0.237,
2010-07,0.225,
2010-10,0.206,
2011-01,0.241,
2011-04,0.252,
2011-07,0.242,
2011-10,0.228,
2012-01,0.267,
2012-04,0.285,
2012-07,0.254,
2012-10,0.242,
2013-01,0.285,
2013-04,0.298,
2013-07,0.259,
2013-10,0.229,
2014-01,0.284,
2014-04,0.281,
2014-07,0.273,
