"",BBDE1.M.DE.Y.AEA1.A2Q400000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2Q400000.F.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / Manufacturing excluding 30 Manufacture of other transport equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:30,
1991-01,65.5,
1991-02,62.1,
1991-03,63.2,
1991-04,62.8,
1991-05,61.9,
1991-06,62.8,
1991-07,60.6,
1991-08,64.8,
1991-09,61.5,
1991-10,63.1,
1991-11,63.7,
1991-12,63.6,
1992-01,63.8,
1992-02,64.5,
1992-03,64.2,
1992-04,62.2,
1992-05,61.4,
1992-06,59.8,
1992-07,58.8,
1992-08,59.2,
1992-09,59.5,
1992-10,56.1,
1992-11,56.1,
1992-12,57.0,
1993-01,56.5,
1993-02,55.1,
1993-03,53.7,
1993-04,53.7,
1993-05,54.1,
1993-06,54.0,
1993-07,54.7,
1993-08,54.4,
1993-09,56.6,
1993-10,55.5,
1993-11,56.0,
1993-12,56.9,
1994-01,55.2,
1994-02,56.9,
1994-03,59.0,
1994-04,58.4,
1994-05,58.6,
1994-06,60.0,
1994-07,59.3,
1994-08,59.1,
1994-09,61.9,
1994-10,63.1,
1994-11,62.8,
1994-12,65.4,
1995-01,61.5,
1995-02,63.1,
1995-03,62.4,
1995-04,61.8,
1995-05,62.1,
1995-06,61.0,
1995-07,61.3,
1995-08,60.2,
1995-09,62.0,
1995-10,59.2,
1995-11,58.8,
1995-12,61.0,
1996-01,60.4,
1996-02,59.2,
1996-03,61.2,
1996-04,61.3,
1996-05,61.4,
1996-06,61.6,
1996-07,61.6,
1996-08,62.2,
1996-09,62.1,
1996-10,63.6,
1996-11,62.9,
1996-12,62.5,
1997-01,63.6,
1997-02,63.6,
1997-03,65.8,
1997-04,66.0,
1997-05,65.6,
1997-06,67.2,
1997-07,67.2,
1997-08,67.1,
1997-09,68.3,
1997-10,67.9,
1997-11,68.4,
1997-12,68.4,
1998-01,69.5,
1998-02,68.8,
1998-03,69.8,
1998-04,70.2,
1998-05,69.1,
1998-06,69.7,
1998-07,68.9,
1998-08,67.9,
1998-09,68.5,
1998-10,66.4,
1998-11,66.4,
1998-12,68.1,
1999-01,67.1,
1999-02,66.4,
1999-03,67.5,
1999-04,67.8,
1999-05,68.7,
1999-06,70.2,
1999-07,71.4,
1999-08,73.7,
1999-09,72.6,
1999-10,73.4,
1999-11,74.9,
1999-12,75.3,
2000-01,73.4,
2000-02,77.3,
2000-03,78.1,
2000-04,79.7,
2000-05,81.2,
2000-06,81.0,
2000-07,82.5,
2000-08,83.9,
2000-09,83.7,
2000-10,83.6,
2000-11,83.4,
2000-12,83.4,
2001-01,81.9,
2001-02,82.7,
2001-03,81.6,
2001-04,79.3,
2001-05,81.7,
2001-06,81.0,
2001-07,79.7,
2001-08,80.8,
2001-09,78.2,
2001-10,77.3,
2001-11,76.4,
2001-12,79.8,
2002-01,78.7,
2002-02,78.2,
2002-03,79.3,
2002-04,80.0,
2002-05,80.8,
2002-06,81.2,
2002-07,79.8,
2002-08,82.4,
2002-09,81.5,
2002-10,80.5,
2002-11,82.3,
2002-12,78.9,
2003-01,81.5,
2003-02,81.4,
2003-03,79.6,
2003-04,79.7,
2003-05,78.3,
2003-06,79.1,
2003-07,80.2,
2003-08,80.0,
2003-09,81.3,
2003-10,82.5,
2003-11,83.2,
2003-12,84.8,
2004-01,83.1,
2004-02,84.1,
2004-03,85.6,
2004-04,87.0,
2004-05,87.8,
2004-06,86.4,
2004-07,88.0,
2004-08,86.3,
2004-09,86.8,
2004-10,86.8,
2004-11,86.3,
2004-12,89.2,
2005-01,88.9,
2005-02,87.2,
2005-03,88.5,
2005-04,88.1,
2005-05,88.1,
2005-06,91.4,
2005-07,92.5,
2005-08,91.9,
2005-09,93.8,
2005-10,96.1,
2005-11,97.0,
2005-12,96.1,
2006-01,98.1,
2006-02,97.9,
2006-03,97.6,
2006-04,100.9,
2006-05,102.1,
2006-06,100.8,
2006-07,101.9,
2006-08,104.0,
2006-09,104.4,
2006-10,105.8,
2006-11,106.2,
2006-12,106.0,
2007-01,108.8,
2007-02,111.2,
2007-03,111.7,
2007-04,108.5,
2007-05,112.7,
2007-06,113.9,
2007-07,112.4,
2007-08,112.5,
2007-09,111.8,
2007-10,115.9,
2007-11,117.1,
2007-12,118.3,
2008-01,114.5,
2008-02,115.0,
2008-03,114.2,
2008-04,115.2,
2008-05,110.9,
2008-06,110.0,
2008-07,107.2,
2008-08,110.7,
2008-09,104.6,
2008-10,96.9,
2008-11,88.6,
2008-12,81.2,
2009-01,73.9,
2009-02,72.5,
2009-03,74.7,
2009-04,74.1,
2009-05,76.0,
2009-06,79.9,
2009-07,78.7,
