"",BBK01.TQ7005C,BBK01.TQ7005C_FLAGS
"",Deposit takers - Sectoral distribution of loans to total loans - Deposit takers                     FSI-I005,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:22,
2005-10,75.18,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,72.57,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,71.11,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,71.18,
2009-01,71.94,
2009-04,72.34,
2009-07,73.23,
2009-10,72.87,
2010-01,72.93,
2010-04,72.66,
2010-07,73.25,
2010-10,74.93,
2011-01,75.50,
2011-04,75.07,
2011-07,75.02,
2011-10,75.71,
2012-01,76.50,
2012-04,76.90,
2012-07,76.40,
2012-10,76.77,
2013-01,76.41,
2013-04,76.41,
2013-07,76.94,
2013-10,76.81,
2014-01,76.25,
2014-04,75.42,
2014-07,74.98,
