"",BBK01.OEBB24K,BBK01.OEBB24K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:16,
2002-01,0.129,
2002-04,0.118,
2002-07,0.109,
2002-10,0.109,
2003-01,0.105,
2003-04,0.105,
2003-07,0.097,
2003-10,0.084,
2004-01,0.110,
2004-04,0.111,
2004-07,0.086,
2004-10,0.125,
2005-01,0.301,
2005-04,0.347,
2005-07,0.322,
2005-10,0.285,
2006-01,0.209,
2006-04,0.207,
2006-07,0.208,
2006-10,0.233,
2007-01,0.180,
2007-04,0.163,
2007-07,0.163,
2007-10,0.164,
2008-01,0.156,
2008-04,0.215,
2008-07,0.046,
2008-10,0.049,
2009-01,0.057,
2009-04,0.129,
2009-07,0.158,
2009-10,0.153,
2010-01,0.141,
2010-04,0.167,
2010-07,0.149,
2010-10,0.189,
2011-01,0.195,
2011-04,0.193,
2011-07,0.191,
2011-10,0.196,
2012-01,0.208,
2012-04,0.204,
2012-07,0.205,
2012-10,0.883,
2013-01,0.869,
2013-04,0.260,
2013-07,0.401,
2013-10,0.234,
2014-01,0.237,
2014-04,0.259,
2014-07,0.343,
