"",BBK01.OEXB15H,BBK01.OEXB15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:05,
2002-01,1.166,
2002-04,1.151,
2002-07,1.152,
2002-10,1.122,
2003-01,1.192,
2003-04,1.176,
2003-07,1.180,
2003-10,1.198,
2004-01,1.201,
2004-04,1.281,
2004-07,1.665,
2004-10,1.658,
2005-01,1.659,
2005-04,1.724,
2005-07,1.694,
2005-10,1.700,
2006-01,1.682,
2006-04,1.688,
2006-07,1.651,
2006-10,1.679,
2007-01,1.684,
2007-04,1.720,
2007-07,1.743,
2007-10,1.736,
2008-01,1.704,
2008-04,1.698,
2008-07,1.686,
2008-10,1.675,
2009-01,1.631,
2009-04,1.635,
2009-07,1.653,
2009-10,1.592,
2010-01,1.568,
2010-04,1.634,
2010-07,1.651,
2010-10,1.682,
2011-01,1.717,
2011-04,1.782,
2011-07,4.178,
2011-10,4.245,
2012-01,4.252,
2012-04,4.267,
2012-07,4.273,
2012-10,4.322,
2013-01,4.350,
2013-04,4.284,
2013-07,4.291,
2013-10,4.268,
2014-01,4.240,
2014-04,4.226,
2014-07,4.204,
