"",BBSF2.M.1.S.00000.IMM01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
2003-08,40,
2003-09,142,
2003-10,73,
2003-11,45,
2003-12,136,
2004-01,83,
2004-02,6,
2004-03,93,
2004-04,22,
2004-05,-44,
2004-06,136,
2004-07,184,
2004-08,-39,
2004-09,49,
2004-10,59,
2004-11,171,
2004-12,975,
2005-01,93,
2005-02,21,
2005-03,635,
2005-04,91,
2005-05,303,
2005-06,251,
2005-07,19,
2005-08,38,
2005-09,213,
2005-10,88,
2005-11,119,
2005-12,489,
2006-01,97,
2006-02,59,
2006-03,30,
2006-04,-1,
2006-05,1333,
2006-06,74,
2006-07,215,
2006-08,13,
2006-09,262,
2006-10,54,
2006-11,188,
2006-12,514,
2007-01,61,
2007-02,-12,
2007-03,-103,
2007-04,-9,
2007-05,-2,
2007-06,-2,
2007-07,88,
2007-08,-75,
2007-09,-143,
2007-10,84,
2007-11,277,
2007-12,477,
2008-01,146,
2008-02,126,
2008-03,-559,
2008-04,130,
2008-05,62,
2008-06,255,
2008-07,184,
2008-08,236,
2008-09,226,
2008-10,144,
2008-11,762,
2008-12,362,
2009-01,872,
2009-02,94,
2009-03,163,
2009-04,95,
2009-05,410,
2009-06,195,
2009-07,108,
2009-08,369,
2009-09,280,
2009-10,1481,
2009-11,281,
2009-12,740,
2010-01,332,
2010-02,65,
2010-03,83,
2010-04,-39,
2010-05,102,
2010-06,75,
2010-07,266,
2010-08,199,
2010-09,79,
2010-10,461,
2010-11,413,
2010-12,465,
2011-01,75,
2011-02,296,
2011-03,307,
2011-04,96,
2011-05,281,
2011-06,159,
2011-07,153,
2011-08,162,
2011-09,329,
2011-10,625,
2011-11,227,
2011-12,821,
2012-01,271,
2012-02,98,
2012-03,231,
2012-04,-14,
2012-05,334,
2012-06,624,
2012-07,300,
2012-08,463,
2012-09,315,
2012-10,416,
2012-11,284,
2012-12,1274,
2013-01,752,
2013-02,174,
2013-03,808,
2013-04,603,
2013-05,-228,
2013-06,560,
2013-07,300,
2013-08,573,
2013-09,286,
2013-10,294,
2013-11,1208,
2013-12,1093,
2014-01,381,
2014-02,513,
2014-03,1000,
2014-04,57,
2014-05,284,
2014-06,813,
2014-07,559,
2014-08,349,
2014-09,562,
2014-10,508,
2014-11,1209,
