"",BBK01.OEAM06M,BBK01.OEAM06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:44,
2002-01,0.072,
2002-04,0.072,
2002-07,0.072,
2002-10,0.072,
2003-01,0.070,
2003-04,0.063,
2003-07,0.063,
2003-10,0.063,
2004-01,0.064,
2004-04,0.063,
2004-07,0.060,
2004-10,0.064,
2005-01,0.065,
2005-04,0.084,
2005-07,0.086,
2005-10,0.085,
2006-01,0.087,
2006-04,0.084,
2006-07,0.087,
2006-10,0.083,
2007-01,0.077,
2007-04,0.077,
2007-07,0.073,
2007-10,0.064,
2008-01,0.062,
2008-04,0.066,
2008-07,0.071,
2008-10,0.086,
2009-01,0.089,
2009-04,0.102,
2009-07,0.106,
2009-10,0.105,
2010-01,0.116,
2010-04,0.113,
2010-07,0.113,
2010-10,0.114,
2011-01,0.101,
2011-04,0.107,
2011-07,0.105,
2011-10,0.093,
2012-01,0.099,
2012-04,0.097,
2012-07,0.108,
2012-10,0.103,
2013-01,0.097,
2013-04,0.096,
2013-07,0.090,
2013-10,0.074,
2014-01,0.070,
2014-04,0.059,
2014-07,0.047,
