"",BBK01.OEYK03O,BBK01.OEYK03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:02,
2002-01,0.053,
2002-04,0.054,
2002-07,0.056,
2002-10,0.062,
2003-01,0.069,
2003-04,0.071,
2003-07,0.077,
2003-10,0.086,
2004-01,0.094,
2004-04,0.098,
2004-07,0.101,
2004-10,0.128,
2005-01,0.138,
2005-04,0.142,
2005-07,0.144,
2005-10,0.146,
2006-01,0.144,
2006-04,0.150,
2006-07,0.153,
2006-10,0.140,
2007-01,0.143,
2007-04,0.134,
2007-07,0.134,
2007-10,0.179,
2008-01,0.165,
2008-04,0.172,
2008-07,0.138,
2008-10,0.252,
2009-01,0.146,
2009-04,0.150,
2009-07,0.153,
2009-10,0.271,
2010-01,0.162,
2010-04,0.175,
2010-07,0.166,
2010-10,0.161,
2011-01,0.134,
2011-04,0.143,
2011-07,0.131,
2011-10,0.145,
2012-01,0.129,
2012-04,0.143,
2012-07,0.132,
2012-10,0.147,
2013-01,0.129,
2013-04,0.133,
2013-07,0.122,
2013-10,0.125,
2014-01,0.113,
2014-04,0.114,
2014-07,0.107,
