"",BBFB1.Q.N.DE.ES.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:56,
1991-01,4.881,
1991-04,5.893,
1991-07,5.644,
1991-10,6.925,
1992-01,-16.913,
1992-04,0.827,
1992-07,-25.568,
1992-10,-17.325,
1993-01,23.791,
1993-04,-8.940,
1993-07,-9.534,
1993-10,-32.048,
1994-01,14.647,
1994-04,-11.697,
1994-07,-8.613,
1994-10,-9.426,
1995-01,-2.774,
1995-04,7.706,
1995-07,-2.258,
1995-10,-27.200,
1996-01,40.139,
1996-04,210.055,
1996-07,-26.830,
1996-10,118.916,
1997-01,-59.683,
1997-04,83.760,
1997-07,96.405,
1997-10,334.477,
1998-01,-16.977,
1998-04,121.892,
1998-07,72.499,
1998-10,361.816,
1999-01,347.797,
1999-04,-348.100,
1999-07,227.582,
1999-10,-4057.309,
2000-01,339.514,
2000-04,-3103.313,
2000-07,5167.565,
2000-10,319.696,
2001-01,2041.831,
2001-04,-107.213,
2001-07,313.703,
2001-10,-1220.729,
2002-01,623.956,
2002-04,1581.917,
2002-07,288.483,
2002-10,129.346,
2003-01,759.225,
2003-04,429.113,
2003-07,881.199,
2003-10,583.969,
2004-01,-1887.186,
2004-04,-998.473,
2004-07,155.588,
2004-10,-1056.949,
2005-01,-24.391,
2005-04,227.559,
2005-07,-84.556,
2005-10,-115.421,
2006-01,615.469,
2006-04,-566.952,
2006-07,32.913,
2006-10,122.901,
2007-01,1508.265,
2007-04,614.356,
2007-07,-458.714,
2007-10,887.144,
2008-01,386.235,
2008-04,-621.483,
2008-07,-603.877,
2008-10,-2280.963,
2009-01,500.851,
2009-04,1570.362,
2009-07,-277.740,
2009-10,4870.265,
2010-01,-5481.303,
2010-04,-61.484,
2010-07,25.422,
2010-10,-141.891,
2011-01,1148.721,
2011-04,970.476,
2011-07,-582.505,
2011-10,-922.567,
2012-01,46.993,
2012-04,1583.561,
2012-07,-880.837,
2012-10,-202.045,
2013-01,-1057.037,
2013-04,-1431.284,
2013-07,-505.079,
2013-10,2443.639,
2014-01,565.888,Provisional value
2014-04,-448.635,Provisional value
2014-07,-568.869,Provisional value
2014-10,-67.238,Provisional value
