"",BBK01.OEHM02T,BBK01.OEHM02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:34,
2002-01,0.331,
2002-04,0.302,
2002-07,0.312,
2002-10,0.394,
2003-01,0.325,
2003-04,0.241,
2003-07,0.231,
2003-10,0.275,
2004-01,0.282,
2004-04,0.204,
2004-07,0.216,
2004-10,0.262,
2005-01,0.267,
2005-04,0.232,
2005-07,0.210,
2005-10,0.253,
2006-01,0.230,
2006-04,0.226,
2006-07,0.240,
2006-10,0.286,
2007-01,0.300,
2007-04,0.245,
2007-07,0.244,
2007-10,0.288,
2008-01,0.311,
2008-04,0.250,
2008-07,0.260,
2008-10,0.283,
2009-01,0.268,
2009-04,0.293,
2009-07,0.280,
2009-10,0.351,
2010-01,0.251,
2010-04,0.310,
2010-07,0.272,
2010-10,0.296,
2011-01,0.235,
2011-04,0.218,
2011-07,0.240,
2011-10,0.361,
2012-01,0.265,
2012-04,0.296,
2012-07,0.273,
2012-10,0.326,
2013-01,0.323,
2013-04,0.388,
2013-07,0.342,
2013-10,0.388,
2014-01,0.358,
2014-04,0.379,
2014-07,0.300,
