"",BBDE1.M.DE.Y.AEN1.A2P300000.F.V.I10.A,BBDE1.M.DE.Y.AEN1.A2P300000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At current prices, flows / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:55,
2010-01,88.7,
2010-02,90.2,
2010-03,96.6,
2010-04,98.3,
2010-05,99.4,
2010-06,101.4,
2010-07,101.4,
2010-08,101.9,
2010-09,102.6,
2010-10,104.3,
2010-11,105.1,
2010-12,104.7,
2011-01,109.5,
2011-02,111.5,
2011-03,109.8,
2011-04,110.5,
2011-05,109.0,
2011-06,108.4,
2011-07,112.1,
2011-08,110.3,
2011-09,107.9,
2011-10,107.2,
2011-11,106.5,
2011-12,105.4,
2012-01,106.7,
2012-02,106.0,
2012-03,106.8,
2012-04,107.2,
2012-05,106.6,
2012-06,104.6,
2012-07,104.3,
2012-08,102.6,
2012-09,102.1,
2012-10,102.6,
2012-11,101.9,
2012-12,102.5,
2013-01,103.0,
2013-02,102.8,
2013-03,104.9,
2013-04,103.2,
2013-05,101.5,
2013-06,105.1,
2013-07,105.0,
2013-08,106.2,
2013-09,105.3,
2013-10,105.2,
2013-11,107.7,
2013-12,105.5,
2014-01,107.2,
2014-02,107.9,
2014-03,107.3,
2014-04,108.1,
2014-05,104.6,
2014-06,104.9,
2014-07,106.5,
2014-08,104.3,
2014-09,103.2,
2014-10,107.2,
2014-11,104.2,
2014-12,108.0,Provisional value
