"",BBK01.BQM107,BBK01.BQM107_FLAGS
"",Central government debt - of which loans,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:37,
2000-01,121681,
2000-04,115928,
2000-07,122460,
2000-10,93506,
2001-01,102415,
2001-04,88291,
2001-07,88053,
2001-10,81472,
2002-01,93303,
2002-04,77337,
2002-07,73357,
2002-10,72280,
2003-01,73990,
2003-04,75875,
2003-07,86233,
2003-10,79582,
2004-01,92786,
2004-04,86143,
2004-07,84544,
2004-10,76928,
2005-01,88362,
2005-04,79187,
2005-07,82916,
2005-10,73096,
2006-01,80413,
2006-04,77073,
2006-07,81905,
2006-10,68882,
2007-01,77930,
2007-04,83040,
2007-07,76070,
2007-10,56756,
2008-01,68168,
2008-04,73011,
2008-07,61398,
2008-10,71520,
2009-01,61730,
2009-04,58493,
2009-07,60514,
2009-10,55522,
2010-01,51470,Provisional value
2010-04,53220,Provisional value
2010-07,55961,Provisional value
2010-10,222242,Provisional value
2011-01,202723,Provisional value
2011-04,185980,Provisional value
2011-07,189838,Provisional value
2011-10,194190,Provisional value
2012-01,190428,Provisional value
2012-04,204913,Provisional value
2012-07,180027,Provisional value
2012-10,183920,Provisional value
2013-01,174500,Provisional value
2013-04,183126,Provisional value
2013-07,166767,Provisional value
2013-10,171870,Provisional value
2014-01,158292,Provisional value
2014-04,161105,Provisional value
2014-07,161130,Provisional value
