"",BBK01.WXI026,BBK01.WXI026_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:04,
2009-09,47809,
2009-10,49089,
2009-11,50402,
2009-12,50052,
2010-01,50183,
2010-02,50089,
2010-03,49823,
2010-04,51027,
2010-05,52584,
2010-06,52302,
2010-07,51716,
2010-08,54231,
2010-09,55170,
2010-10,53969,
2010-11,55061,
2010-12,54640,
2011-01,55766,
2011-02,55329,
2011-03,55102,
2011-04,56184,
2011-05,55157,
2011-06,54756,
2011-07,55047,
2011-08,57530,
2011-09,57086,
2011-10,58782,
2011-11,60491,
2011-12,59342,
2012-01,60135,
2012-02,60385,
2012-03,59637,
2012-04,59542,
2012-05,63256,
2012-06,63767,
2012-07,62148,
2012-08,64780,
2012-09,63693,
2012-10,63366,
2012-11,65959,
2012-12,68306,
2013-01,69925,
2013-02,67497,
2013-03,68130,
2013-04,71356,
2013-05,73662,
2013-06,69795,
2013-07,70897,
2013-08,70720,
2013-09,71809,
2013-10,72712,
2013-11,74331,
2013-12,75057,
2014-01,74291,
2014-02,76221,
2014-03,75931,
2014-04,77306,
2014-05,78066,
2014-06,78308,
2014-07,80368,
2014-08,83547,
2014-09,84125,
2014-10,85789,
2014-11,89976,
