"",BBFB1.Q.N.DE.BE.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:56,
1991-01,63.964,
1991-04,41.160,
1991-07,77.297,
1991-10,63.030,
1992-01,62.186,
1992-04,36.090,
1992-07,55.867,
1992-10,51.308,
1993-01,37.719,
1993-04,55.302,
1993-07,37.854,
1993-10,64.634,
1994-01,72.944,
1994-04,57.313,
1994-07,151.599,
1994-10,68.422,
1995-01,66.471,
1995-04,64.267,
1995-07,65.943,
1995-10,285.315,
1996-01,28.056,
1996-04,34.900,
1996-07,37.154,
1996-10,48.994,
1997-01,17.828,
1997-04,13.101,
1997-07,15.926,
1997-10,12.612,
1998-01,14.516,
1998-04,26.606,
1998-07,21.265,
1998-10,25.091,
1999-01,4670.382,
1999-04,5185.977,
1999-07,4756.509,
1999-10,5281.258,
2000-01,5276.012,
2000-04,5549.438,
2000-07,5536.076,
2000-10,6274.729,
2001-01,6362.074,
2001-04,6344.856,
2001-07,6012.832,
2001-10,6078.682,
2002-01,5451.741,
2002-04,5908.224,
2002-07,5796.644,
2002-10,5986.665,
2003-01,5733.894,
2003-04,5967.445,
2003-07,5637.454,
2003-10,5962.578,
2004-01,5854.505,
2004-04,6299.972,
2004-07,6580.723,
2004-10,6900.788,
2005-01,6287.357,
2005-04,6850.621,
2005-07,6822.458,
2005-10,7112.017,
2006-01,7316.911,
2006-04,8005.728,
2006-07,8190.212,
2006-10,8544.312,
2007-01,8496.974,
2007-04,9149.762,
2007-07,9092.105,
2007-10,9211.768,
2008-01,8848.687,
2008-04,9780.125,
2008-07,10038.930,
2008-10,8498.307,
2009-01,6912.819,
2009-04,6728.141,
2009-07,7130.621,
2009-10,7351.151,
2010-01,7840.493,
2010-04,8593.286,
2010-07,8896.143,
2010-10,9056.063,
2011-01,9696.113,
2011-04,10180.589,
2011-07,9882.030,
2011-10,9755.836,
2012-01,9820.445,
2012-04,9588.289,
2012-07,9510.153,
2012-10,9444.571,
2013-01,9754.515,
2013-04,10280.915,
2013-07,9850.413,
2013-10,10317.210,
2014-01,10110.039,Provisional value
2014-04,10177.952,Provisional value
2014-07,10220.067,Provisional value
