"",BBK01.OEAE15P,BBK01.OEAE15P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:09,
2002-01,0.134,
2002-04,0.134,
2002-07,0.129,
2002-10,0.136,
2003-01,0.120,
2003-04,0.126,
2003-07,0.118,
2003-10,0.114,
2004-01,0.112,
2004-04,0.100,
2004-07,0.100,
2004-10,0.099,
2005-01,0.115,
2005-04,0.103,
2005-07,0.100,
2005-10,0.095,
2006-01,0.094,
2006-04,0.095,
2006-07,0.094,
2006-10,0.108,
2007-01,0.095,
2007-04,0.084,
2007-07,0.083,
2007-10,0.088,
2008-01,0.082,
2008-04,0.092,
2008-07,0.088,
2008-10,0.100,
2009-01,0.132,
2009-04,0.118,
2009-07,0.113,
2009-10,0.118,
2010-01,0.156,
2010-04,0.115,
2010-07,0.109,
2010-10,0.147,
2011-01,0.141,
2011-04,0.152,
2011-07,0.102,
2011-10,0.145,
2012-01,0.152,
2012-04,0.133,
2012-07,0.127,
2012-10,0.121,
2013-01,0.115,
2013-04,0.155,
2013-07,0.108,
2013-10,0.133,
2014-01,0.153,
2014-04,0.150,
2014-07,0.132,
