"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.FI.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.FI.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Finland / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:17,
2009-09,1923,
2009-10,2169,
2009-11,2184,
2009-12,2311,
2010-01,2478,
2010-02,2614,
2010-03,2836,
2010-04,2988,
2010-05,3150,
2010-06,3219,
2010-07,3219,
2010-08,3362,
2010-09,3286,
2010-10,3161,
2010-11,3152,
2010-12,3108,
2011-01,3041,
2011-02,3036,
2011-03,3041,
2011-04,3081,
2011-05,3272,
2011-06,3229,
2011-07,3583,
2011-08,3830,
2011-09,3897,
2011-10,3985,
2011-11,3946,
2011-12,4005,
2012-01,3859,
2012-02,3841,
2012-03,3844,
2012-04,3899,
2012-05,3903,
2012-06,4068,
2012-07,4266,
2012-08,4231,
2012-09,4044,
2012-10,3876,
2012-11,3924,
2012-12,4011,
2013-01,3861,
2013-02,3989,
2013-03,3898,
2013-04,3925,
2013-05,3872,
2013-06,3808,
2013-07,3881,
2013-08,3910,
2013-09,4020,
2013-10,4020,
2013-11,4042,
2013-12,4044,
2014-01,4180,
2014-02,4539,
2014-03,4647,
2014-04,4803,
2014-05,5093,
2014-06,5174,
2014-07,5083,
2014-08,5168,
2014-09,5089,
2014-10,5019,
2014-11,4859,
