"",BBK01.PQ2608,BBK01.PQ2608_FLAGS
"",Lending to domestic employees and other individuals / Long-term / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:25:52,
1968-10,0.005,
1969-01,0.006,
1969-04,0.018,
1969-07,0.067,
1969-10,0.066,
1970-01,0.066,
1970-04,0.067,
1970-07,0.071,
1970-10,0.073,
1971-01,0.073,
1971-04,0.072,
1971-07,0.072,
1971-10,0.071,
1972-01,0.069,
1972-04,0.070,
1972-07,0.071,
1972-10,0.072,
1973-01,0.069,
1973-04,0.068,
1973-07,0.069,
1973-10,0.069,
1974-01,0.075,
1974-04,0.067,
1974-07,0.067,
1974-10,0.066,
1975-01,0.065,
1975-04,0.064,
1975-07,0.064,
1975-10,0.064,
1976-01,0.094,
1976-04,0.115,
1976-07,0.124,
1976-10,0.132,
1977-01,0.149,
1977-04,0.163,
1977-07,0.180,
1977-10,0.201,
1978-01,0.222,
1978-04,0.242,
1978-07,0.270,
1978-10,0.291,
1979-01,0.300,
1979-04,0.327,
1979-07,0.357,
1979-10,0.365,
1980-01,0.391,
1980-04,0.409,
1980-07,0.428,
1980-10,3.283,
1981-01,3.457,
1981-04,3.543,
1981-07,3.618,
1981-10,3.682,
1982-01,3.737,
1982-04,3.785,
1982-07,3.865,
1982-10,3.985,
1983-01,4.048,
1983-04,4.097,
1983-07,4.100,
1983-10,4.207,
1984-01,4.227,
1984-04,4.311,
1984-07,4.417,
1984-10,4.546,
1985-01,4.653,
1985-04,4.705,
1985-07,4.802,
1985-10,4.924,
1986-01,4.998,
1986-04,5.097,
1986-07,5.228,
1986-10,5.367,
1987-01,5.465,
1987-04,5.520,
1987-07,5.640,
1987-10,5.784,
1988-01,5.866,
1988-04,5.925,
1988-07,6.051,
1988-10,7.533,
1989-01,7.907,
1989-04,7.923,
1989-07,7.960,
1989-10,8.135,
1990-01,8.364,
1990-04,8.499,
1990-07,8.653,
1990-10,8.762,
1991-01,8.820,
1991-04,8.856,
1991-07,8.952,
1991-10,9.724,
1992-01,9.747,
1992-04,9.773,
1992-07,9.941,
1992-10,10.043,
1993-01,10.113,
1993-04,10.192,
1993-07,10.432,
1993-10,10.918,
1994-01,11.178,
1994-04,11.442,
1994-07,11.871,
1994-10,12.092,
1995-01,12.238,
1995-04,12.244,
1995-07,12.405,
1995-10,12.528,
1996-01,12.637,
1996-04,16.677,
1996-07,17.317,
1996-10,18.133,
1997-01,18.617,
1997-04,19.043,
1997-07,19.616,
1997-10,20.241,
1998-01,20.646,
1998-04,21.082,
1998-07,21.645,
1998-10,22.491,
1999-01,23.750,
1999-04,24.306,
1999-07,24.975,
1999-10,25.653,
2000-01,26.108,
2000-04,17.670,
2000-07,18.019,
2000-10,18.280,
2001-01,18.353,
2001-04,18.449,
2001-07,18.663,
2001-10,18.798,
2002-01,18.671,
2002-04,18.674,
2002-07,18.731,
2002-10,18.874,
2003-01,18.924,
2003-04,20.235,
2003-07,20.406,
2003-10,20.604,
2004-01,20.484,
2004-04,20.435,
2004-07,25.274,
2004-10,33.960,
2005-01,33.695,
2005-04,33.000,
2005-07,32.556,
2005-10,31.698,
2006-01,36.445,
2006-04,35.619,
2006-07,35.146,
2006-10,34.300,
2007-01,33.568,
2007-04,32.635,
2007-07,32.219,
2007-10,31.599,
2008-01,31.143,
2008-04,30.597,
2008-07,30.330,
2008-10,29.876,
2009-01,29.501,
2009-04,29.193,
2009-07,29.049,
2009-10,28.780,
2010-01,28.337,
2010-04,28.470,
2010-07,28.047,
2010-10,27.201,
2011-01,27.115,
2011-04,26.891,
2011-07,26.886,
2011-10,26.357,
2012-01,26.479,
2012-04,26.110,
2012-07,25.745,
2012-10,25.341,
2013-01,25.040,
2013-04,24.616,
2013-07,24.301,
2013-10,25.075,
2014-01,24.682,
2014-04,24.426,
2014-07,24.251,
2014-10,23.971,
