"",BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:01,
1991-01,402.399,
1991-04,745.138,
1991-07,816.726,
1991-10,484.590,
1992-01,514.362,
1992-04,481.327,
1992-07,876.411,
1992-10,905.591,
1993-01,446.419,
1993-04,490.726,
1993-07,615.490,
1993-10,1367.152,
1994-01,1341.789,
1994-04,939.030,
1994-07,110.413,
1994-10,1652.720,
1995-01,3125.896,
1995-04,1422.015,
1995-07,1764.676,
1995-10,3779.305,
1996-01,2399.353,
1996-04,4317.611,
1996-07,1292.628,
1996-10,6772.578,
1997-01,-533.749,
1997-04,4516.972,
1997-07,1188.067,
1997-10,905.985,
1998-01,7027.723,
1998-04,7130.414,
1998-07,-6882.585,
1998-10,1637.452,
1999-01,3375.704,
1999-04,4548.705,
1999-07,2803.387,
1999-10,41803.277,
2000-01,13302.333,
2000-04,23031.495,
2000-07,-6864.978,
2000-10,-32230.618,
2001-01,13990.323,
2001-04,-6008.872,
2001-07,4778.370,
2001-10,3086.786,
2002-01,-616.403,
2002-04,12468.546,
2002-07,4784.286,
2002-10,-8553.995,
2003-01,10861.292,
2003-04,-1378.855,
2003-07,-33.408,
2003-10,7452.598,
2004-01,9635.333,
2004-04,1218.894,
2004-07,-800.052,
2004-10,-9208.662,
2005-01,3482.381,
2005-04,6934.959,
2005-07,4450.358,
2005-10,10735.339,
2006-01,8074.923,
2006-04,-3311.620,
2006-07,17271.280,
2006-10,3150.934,
2007-01,4520.643,
2007-04,9936.257,
2007-07,3296.952,
2007-10,-4330.854,
2008-01,9376.020,
2008-04,-2724.717,
2008-07,7718.134,
2008-10,2951.671,
2009-01,125.492,
2009-04,8971.735,
2009-07,614.046,
2009-10,-813.467,
2010-01,12601.625,
2010-04,5210.024,
2010-07,1219.269,
2010-10,2224.477,
2011-01,3782.104,
2011-04,-3156.368,
2011-07,565.724,
2011-10,35.488,
2012-01,5166.053,
2012-04,-1693.580,
2012-07,9378.349,
2012-10,3305.545,
2013-01,3582.872,
2013-04,5288.349,
2013-07,269.799,
2013-10,1599.100,
2014-01,4589.657,Provisional value
2014-04,11605.207,Provisional value
2014-07,5863.038,Provisional value
2014-10,4395.525,Provisional value
