"",BBK01.OEBB13S,BBK01.OEBB13S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:43,
2002-01,1.180,
2002-04,1.182,
2002-07,1.182,
2002-10,1.013,
2003-01,0.997,
2003-04,1.001,
2003-07,1.003,
2003-10,0.983,
2004-01,0.978,
2004-04,0.954,
2004-07,0.951,
2004-10,0.946,
2005-01,0.994,
2005-04,0.987,
2005-07,0.977,
2005-10,0.938,
2006-01,0.941,
2006-04,0.948,
2006-07,0.952,
2006-10,0.938,
2007-01,0.931,
2007-04,0.939,
2007-07,0.941,
2007-10,0.975,
2008-01,0.947,
2008-04,0.948,
2008-07,0.946,
2008-10,0.957,
2009-01,0.953,
2009-04,1.099,
2009-07,1.090,
2009-10,1.097,
2010-01,1.095,
2010-04,1.095,
2010-07,1.094,
2010-10,1.101,
2011-01,1.079,
2011-04,1.089,
2011-07,1.081,
2011-10,1.087,
2012-01,1.070,
2012-04,1.071,
2012-07,1.071,
2012-10,1.074,
2013-01,1.082,
2013-04,1.088,
2013-07,1.081,
2013-10,1.084,
2014-01,1.090,
2014-04,1.079,
2014-07,1.081,
