"",BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:34,
1991-01,168.839,
1991-04,-6.011,
1991-07,135.564,
1991-10,-665.858,
1992-01,577.469,
1992-04,-913.897,
1992-07,-366.513,
1992-10,47.407,
1993-01,51.822,
1993-04,-18.232,
1993-07,212.503,
1993-10,102.522,
1994-01,529.637,
1994-04,364.352,
1994-07,328.813,
1994-10,639.936,
1995-01,-38.205,
1995-04,-229.731,
1995-07,-329.680,
1995-10,73.643,
1996-01,-149.307,
1996-04,240.524,
1996-07,243.077,
1996-10,-310.607,
1997-01,270.734,
1997-04,691.310,
1997-07,-45.699,
1997-10,141.710,
1998-01,678.263,
1998-04,-1475.435,
1998-07,-787.005,
1998-10,301.920,
1999-01,114.378,
1999-04,-75.026,
1999-07,-127.375,
1999-10,250.321,
2000-01,1038.414,
2000-04,276.786,
2000-07,-350.195,
2000-10,325.784,
2001-01,-119.425,
2001-04,86.309,
2001-07,-154.243,
2001-10,-632.690,
2002-01,569.495,
2002-04,-807.599,
2002-07,-176.058,
2002-10,40.636,
2003-01,-267.151,
2003-04,573.218,
2003-07,-229.369,
2003-10,375.972,
2004-01,647.477,
2004-04,742.586,
2004-07,1023.308,
2004-10,-597.266,
2005-01,661.005,
2005-04,1033.650,
2005-07,608.645,
2005-10,-329.561,
2006-01,1055.515,
2006-04,1138.354,
2006-07,-160.882,
2006-10,1180.694,
2007-01,1039.403,
2007-04,855.341,
2007-07,-435.257,
2007-10,-13.382,
2008-01,1343.322,
2008-04,638.293,
2008-07,-953.206,
2008-10,-1817.124,
2009-01,-701.131,
2009-04,-102.962,
2009-07,-57.465,
2009-10,495.418,
2010-01,-119.863,
2010-04,-307.260,
2010-07,685.970,
2010-10,1631.118,
2011-01,707.008,
2011-04,-286.562,
2011-07,-150.952,
2011-10,-260.317,
2012-01,2525.231,
2012-04,670.453,
2012-07,1786.307,
2012-10,622.439,
2013-01,905.547,
2013-04,1025.538,
2013-07,1624.411,
2013-10,1124.934,
2014-01,1926.088,Provisional value
2014-04,1244.536,Provisional value
2014-07,910.456,Provisional value
2014-10,930.724,Provisional value
