"",BBK01.RJ2051,BBK01.RJ2051_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:24:38,
1989,.,No value available
1990,.,No value available
1991,.,No value available
1992,.,No value available
1993,.,No value available
1994,.,No value available
1995,.,No value available
1996,.,No value available
1997,8,
1998,8,
1999,7,
2000,8,
2001,4,
2002,.,No value available
2003,8,
2004,.,No value available
2005,.,No value available
2006,.,No value available
2007,.,No value available
2008,.,No value available
2009,.,No value available
2010,9,
2011,8,
2012,35,
