"",BBK01.OEAD34M,BBK01.OEAD34M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:20,
2002-01,0.467,
2002-04,0.456,
2002-07,0.442,
2002-10,0.447,
2003-01,0.442,
2003-04,0.424,
2003-07,0.408,
2003-10,0.399,
2004-01,0.389,
2004-04,0.392,
2004-07,0.377,
2004-10,0.366,
2005-01,0.348,
2005-04,0.342,
2005-07,0.332,
2005-10,0.323,
2006-01,0.316,
2006-04,0.321,
2006-07,0.310,
2006-10,0.304,
2007-01,0.295,
2007-04,0.309,
2007-07,0.299,
2007-10,0.280,
2008-01,0.282,
2008-04,0.285,
2008-07,0.313,
2008-10,0.326,
2009-01,0.333,
2009-04,0.357,
2009-07,0.356,
2009-10,0.354,
2010-01,0.389,
2010-04,0.386,
2010-07,0.372,
2010-10,0.364,
2011-01,0.359,
2011-04,0.340,
2011-07,0.351,
2011-10,0.347,
2012-01,0.351,
2012-04,0.336,
2012-07,0.335,
2012-10,0.315,
2013-01,0.329,
2013-04,0.316,
2013-07,0.323,
2013-10,0.312,
2014-01,0.297,
2014-04,0.289,
2014-07,0.293,
