"",BBK01.PQM356,BBK01.PQM356_FLAGS
"",Lending to domestic enterprises / Medium-term / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:36,
1968-10,0.171,
1969-01,0.145,
1969-04,0.130,
1969-07,0.134,
1969-10,0.157,
1970-01,0.170,
1970-04,0.185,
1970-07,0.252,
1970-10,0.334,
1971-01,0.451,
1971-04,0.491,
1971-07,0.718,
1971-10,0.734,
1972-01,0.753,
1972-04,0.774,
1972-07,0.672,
1972-10,0.669,
1973-01,0.713,
1973-04,0.690,
1973-07,0.561,
1973-10,0.604,
1974-01,0.586,
1974-04,0.622,
1974-07,0.667,
1974-10,0.879,
1975-01,0.851,
1975-04,0.849,
1975-07,0.847,
1975-10,0.811,
1976-01,0.863,
1976-04,0.679,
1976-07,0.644,
1976-10,0.599,
1977-01,0.568,
1977-04,0.573,
1977-07,0.518,
1977-10,0.500,
1978-01,0.490,
1978-04,0.437,
1978-07,0.433,
1978-10,0.411,
1979-01,0.446,
1979-04,0.458,
1979-07,0.400,
1979-10,0.365,
1980-01,0.323,
1980-04,0.344,
1980-07,0.410,
1980-10,0.535,
1981-01,0.570,
1981-04,0.733,
1981-07,0.929,
1981-10,1.033,
1982-01,1.145,
1982-04,1.105,
1982-07,1.130,
1982-10,1.148,
1983-01,1.119,
1983-04,1.065,
1983-07,1.080,
1983-10,1.085,
1984-01,1.105,
1984-04,1.064,
1984-07,1.073,
1984-10,1.087,
1985-01,0.988,
1985-04,0.993,
1985-07,0.950,
1985-10,0.887,
1986-01,0.810,
1986-04,0.734,
1986-07,0.696,
1986-10,0.649,
1987-01,0.532,
1987-04,0.517,
1987-07,0.478,
1987-10,0.526,
1988-01,0.487,
1988-04,0.669,
1988-07,0.559,
1988-10,0.513,
1989-01,0.494,
1989-04,0.467,
1989-07,0.442,
1989-10,0.545,
1990-01,0.577,
1990-04,0.591,
1990-07,0.740,
1990-10,0.964,
1991-01,1.147,
1991-04,1.397,
1991-07,1.869,
1991-10,2.293,
1992-01,2.771,
1992-04,3.337,
1992-07,3.591,
1992-10,3.824,
1993-01,3.636,
1993-04,3.740,
1993-07,4.066,
1993-10,4.099,
1994-01,4.093,
1994-04,4.012,
1994-07,3.996,
1994-10,3.559,
1995-01,2.378,
1995-04,2.592,
1995-07,2.365,
1995-10,2.557,
1996-01,2.239,
1996-04,2.135,
1996-07,2.194,
1996-10,2.183,
1997-01,2.047,
1997-04,2.031,
1997-07,2.218,
1997-10,2.359,
1998-01,2.460,
1998-04,2.524,
1998-07,2.707,
1998-10,2.625,
1999-01,3.244,
1999-04,2.839,
1999-07,2.875,
1999-10,3.146,
2000-01,3.843,
2000-04,4.320,
2000-07,4.268,
2000-10,4.463,
2001-01,4.479,
2001-04,4.680,
2001-07,4.958,
2001-10,5.006,
2002-01,5.209,
2002-04,5.201,
2002-07,5.100,
2002-10,6.010,
2003-01,6.786,
2003-04,7.410,
2003-07,7.638,
2003-10,7.922,
2004-01,7.654,
2004-04,7.579,
2004-07,7.426,
2004-10,6.936,
2005-01,7.225,
2005-04,7.049,
2005-07,8.810,
2005-10,8.754,
2006-01,9.614,
2006-04,10.166,
2006-07,9.508,
2006-10,9.569,
2007-01,9.507,
2007-04,9.969,
2007-07,9.710,
2007-10,10.083,
2008-01,10.444,
2008-04,10.863,
2008-07,11.283,
2008-10,13.035,
2009-01,12.563,
2009-04,13.508,
2009-07,14.062,
2009-10,14.618,
2010-01,15.050,
2010-04,15.000,
2010-07,14.572,
2010-10,14.251,
2011-01,15.487,
2011-04,15.540,
2011-07,15.200,
2011-10,14.515,
2012-01,13.826,
2012-04,13.725,
2012-07,13.571,
2012-10,13.009,
2013-01,12.839,
2013-04,12.905,
2013-07,12.319,
2013-10,12.068,
2014-01,12.848,
2014-04,13.350,
2014-07,13.105,
2014-10,12.902,
