"",BBK01.OEHK02N,BBK01.OEHK02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:32,
2002-01,4.279,
2002-04,4.308,
2002-07,4.444,
2002-10,4.517,
2003-01,4.697,
2003-04,4.852,
2003-07,4.930,
2003-10,5.080,
2004-01,4.955,
2004-04,5.079,
2004-07,5.139,
2004-10,5.279,
2005-01,5.215,
2005-04,5.449,
2005-07,5.662,
2005-10,5.895,
2006-01,5.780,
2006-04,5.866,
2006-07,5.823,
2006-10,6.268,
2007-01,5.903,
2007-04,5.733,
2007-07,5.660,
2007-10,5.958,
2008-01,5.653,
2008-04,5.618,
2008-07,5.545,
2008-10,6.097,
2009-01,6.801,
2009-04,7.480,
2009-07,8.078,
2009-10,8.691,
2010-01,8.853,
2010-04,9.032,
2010-07,9.118,
2010-10,9.455,
2011-01,9.137,
2011-04,9.028,
2011-07,9.069,
2011-10,9.490,
2012-01,9.438,
2012-04,9.629,
2012-07,10.091,
2012-10,10.460,
2013-01,10.401,
2013-04,10.619,
2013-07,10.882,
2013-10,11.381,
2014-01,11.530,
2014-04,11.589,
2014-07,11.882,
