"",BBEX3.M.SRD.EUR.CA.AC.A01,BBEX3.M.SRD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Suriname / EUR 1 = SRD ... (middle),
unit,SRD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:01,
2004-01,3.4100,
2004-02,3.4035,
2004-03,3.3330,
2004-04,3.2345,
2004-05,3.3490,
2004-06,3.3285,
2004-07,3.2890,
2004-08,3.2950,
2004-09,3.3700,
2004-10,3.4765,
2004-11,3.6235,
2004-12,3.6945,
2005-01,3.5390,
2005-02,3.5740,
2005-03,3.5145,
2005-04,3.5040,
2005-05,3.4170,
2005-06,3.3030,
2005-07,3.3155,
2005-08,3.3375,
2005-09,3.3055,
2005-10,3.3255,
2005-11,3.2310,
2005-12,3.2405,
2006-01,3.3105,
2006-02,3.2475,
2006-03,3.3145,
2006-04,3.4075,
2006-05,3.5240,
2006-06,3.4390,
2006-07,3.4765,
2006-08,3.5190,
2006-09,3.4895,
2006-10,3.4905,
2006-11,3.6120,
2006-12,3.6160,
2007-01,3.5605,
2007-02,3.6315,
2007-03,3.6650,
2007-04,3.7450,
2007-05,3.6840,
2007-06,3.6970,
2007-07,3.7500,
2007-08,3.7360,
2007-09,3.8925,
2007-10,3.9545,
2007-11,4.0455,
2007-12,4.0335,
2008-01,4.0660,
2008-02,4.1510,
2008-03,4.3365,
2008-04,4.2745,
2008-05,4.2685,
2008-06,4.3230,
2008-07,4.2795,
2008-08,4.0545,
2008-09,3.9390,
2008-10,3.5780,
2008-11,3.5410,
2008-12,3.8705,
2009-01,3.5990,
2009-02,3.5085,
2009-03,3.6215,
2009-04,3.6415,
2009-05,3.8035,
2009-06,3.8590,
2009-07,3.8715,
2009-08,3.9435,
2009-09,3.9940,
2009-10,4.0600,
2009-11,4.0950,
2009-12,3.9360,
2010-01,3.8430,
2010-02,3.7030,
2010-03,3.7010,
2010-04,3.6385,
2010-05,3.3995,
2010-06,3.3485,
2010-07,3.5665,
2010-08,3.4865,
2010-09,3.7365,
2010-10,3.8035,
2010-11,3.6090,
2010-12,3.6455,
2011-01,4.5245,comment
2011-02,4.5450,
2011-03,4.6495,
2011-04,4.8820,
2011-05,4.7095,
2011-06,4.7600,
2011-07,4.7065,
2011-08,4.7805,
2011-09,4.4930,
2011-10,4.6730,
2011-11,4.4010,
2011-12,4.2535,
2012-01,4.3265,
2012-02,4.4405,
2012-03,4.3795,
2012-04,4.3655,
2012-05,4.1045,
2012-06,4.0980,
2012-07,4.0410,
2012-08,4.1395,
2012-09,4.2485,
2012-10,4.2780,
2012-11,4.2880,
2012-12,4.3500,
2013-01,4.4685,
2013-02,4.3225,
2013-03,4.2685,
2013-04,4.3275,
2013-05,4.2715,
2013-06,4.3005,
2013-07,4.3835,
2013-08,4.3775,
2013-09,4.4675,
2013-10,4.5390,
2013-11,4.4850,
2013-12,4.5480,
2014-01,4.4910,
2014-02,4.5065,
2014-03,4.5410,
2014-04,4.5625,
2014-05,4.4920,
2014-06,4.4950,
2014-07,4.4220,
2014-08,4.3490,
2014-09,4.1915,
2014-10,4.1570,
2014-11,4.1185,
2014-12,4.0130,
2015-01,3.7340,
2015-02,3.7345,
"","General: Currency conversion with effect from 1 January 2004 at the rate of SRG 1,000 (Suriname guilder) = SRD 1 (Suriname dollar).",
"","Source: Calculated on the basis of buying and selling rates of the Centrale Bank van Suriname, Paramaribo.",
"","Comment on 2011-01: On 20 January 2011, the exchange rates (buying/selling rate) for the US dollar were changed from USD 1 = SRD 2.710 / 2.780 to USD 1 = SRD 3.250 / 3.350, corresponding to a depreciation of the Suriname dollar against the US dollar of 16.8% (middle rate). We recorded the following exchange rates for the euro (buying/selling): 19 January 2011: EUR 1 = SRD 3.624 / 3.718 20 January 2011: EUR 1 = SRD 4.389 / 4.525.",
