"",BBK01.CEHL0N,BBK01.CEHL0N_FLAGS
"",Mutual funds shares debtor: All sectors                   creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:30,
1991-01,0.0,
1991-04,0.0,
1991-07,0.0,
1991-10,0.1,
1992-01,0.4,
1992-04,0.0,
1992-07,-0.2,
1992-10,-0.2,
1993-01,0.3,
1993-04,0.6,
1993-07,0.3,
1993-10,0.9,
1994-01,0.6,
1994-04,1.0,
1994-07,0.0,
1994-10,1.0,
1995-01,-0.2,
1995-04,-0.3,
1995-07,-0.3,
1995-10,0.3,
1996-01,0.2,
1996-04,-0.3,
1996-07,-0.2,
1996-10,-0.9,
1997-01,0.6,
1997-04,0.4,
1997-07,-1.6,
1997-10,-1.5,
1998-01,0.2,
1998-04,-0.6,
1998-07,-0.2,
1998-10,-0.7,
1999-01,2.6,
1999-04,-1.1,
1999-07,0.6,
1999-10,3.7,
2000-01,5.1,
2000-04,2.1,
2000-07,1.7,
2000-10,2.1,
2001-01,-2.0,
2001-04,-0.7,
2001-07,-0.5,
2001-10,4.2,
2002-01,1.1,
2002-04,-1.0,
2002-07,1.0,
2002-10,-1.7,
2003-01,-0.8,
2003-04,-0.5,
2003-07,-0.8,
2003-10,0.2,
2004-01,0.8,
2004-04,-1.5,
2004-07,4.0,
2004-10,0.9,
2005-01,0.5,
2005-04,0.7,
2005-07,4.5,
2005-10,0.3,
2006-01,-6.2,
2006-04,11.5,
2006-07,-6.5,
2006-10,-22.7,
2007-01,16.3,
2007-04,15.9,
2007-07,-0.5,
2007-10,12.4,
2008-01,-7.4,
2008-04,8.2,
2008-07,5.3,
2008-10,-4.0,
2009-01,11.6,
2009-04,-2.9,
2009-07,16.1,
2009-10,-1.1,
2010-01,-0.4,
2010-04,2.8,
2010-07,4.9,
2010-10,5.0,
2011-01,8.6,
2011-04,-9.5,
2011-07,4.8,
2011-10,-5.8,
2012-01,10.0,
2012-04,4.3,
2012-07,4.0,
2012-10,-1.7,
2013-01,-2.2,
2013-04,0.8,
2013-07,0.1,
2013-10,6.5,
2014-01,5.8,
