"",BBFB1.Q.N.DE.E1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:16,
1991-01,-5328.577,
1991-04,-5817.852,
1991-07,-8018.206,
1991-10,-4799.862,
1992-01,-6000.769,
1992-04,-6827.421,
1992-07,-9298.857,
1992-10,-5693.743,
1993-01,-5848.504,
1993-04,-7384.861,
1993-07,-9898.421,
1993-10,-5741.641,
1994-01,-6353.551,
1994-04,-8402.628,
1994-07,-11307.616,
1994-10,-6926.304,
1995-01,-7076.777,
1995-04,-8374.428,
1995-07,-11269.911,
1995-10,-6423.763,
1996-01,-7101.228,
1996-04,-8865.563,
1996-07,-12120.909,
1996-10,-7532.178,
1997-01,-7410.579,
1997-04,-8961.532,
1997-07,-12382.331,
1997-10,-7237.436,
1998-01,-6719.528,
1998-04,-9027.758,
1998-07,-12480.980,
1998-10,-7542.778,
1999-01,-8174.850,
1999-04,-10257.972,
1999-07,-14210.693,
1999-10,-9594.626,
2000-01,-8897.307,
2000-04,-11048.937,
2000-07,-16131.498,
2000-10,-10587.692,
2001-01,-11134.631,
2001-04,-12249.549,
2001-07,-17090.786,
2001-10,-8716.480,
2002-01,-9421.474,
2002-04,-10086.961,
2002-07,-14598.936,
2002-10,-6682.650,
2003-01,-8350.586,
2003-04,-10572.435,
2003-07,-17020.722,
2003-10,-6209.977,
2004-01,-6774.329,
2004-04,-8844.617,
2004-07,-13442.653,
2004-10,-4470.780,
2005-01,-6836.963,
2005-04,-8533.572,
2005-07,-14410.031,
2005-10,-5442.280,
2006-01,-5748.696,
2006-04,-6079.420,
2006-07,-12468.633,
2006-10,-2579.249,
2007-01,-6235.685,
2007-04,-7671.031,
2007-07,-13751.783,
2007-10,-4529.509,
2008-01,-5307.133,
2008-04,-7401.690,
2008-07,-13107.897,
2008-10,-2717.227,
2009-01,-3564.278,
2009-04,-5902.665,
2009-07,-10973.710,
2009-10,-1977.114,
2010-01,-4070.710,
2010-04,-7165.286,
2010-07,-12401.225,
2010-10,-4231.046,
2011-01,-5218.155,
2011-04,-8466.561,
2011-07,-13850.926,
2011-10,-3449.078,
2012-01,-4664.379,
2012-04,-7775.737,
2012-07,-14149.455,
2012-10,-4628.729,
2013-01,-7497.917,
2013-04,-10214.904,
2013-07,-16459.283,
2013-10,-5749.550,
2014-01,-5786.123,Provisional value
2014-04,-8706.380,Provisional value
2014-07,-16833.513,Provisional value
