"",BBSF2.M.1.P.00000.IMM01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:35,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,802,
1993-05,506,
1993-06,664,
1993-07,735,
1993-08,574,
1993-09,618,
1993-10,542,
1993-11,734,
1993-12,645,
1994-01,1644,
1994-02,538,
1994-03,380,
1994-04,473,
1994-05,272,
1994-06,421,
1994-07,306,
1994-08,262,
1994-09,218,
1994-10,184,
1994-11,196,
1994-12,571,
1995-01,770,
1995-02,299,
1995-03,276,
1995-04,347,
1995-05,273,
1995-06,508,
1995-07,503,
1995-08,428,
1995-09,353,
1995-10,393,
1995-11,407,
1995-12,607,
1996-01,2395,
1996-02,1185,
1996-03,654,
1996-04,714,
1996-05,472,
1996-06,736,
1996-07,645,
1996-08,437,
1996-09,375,
1996-10,391,
1996-11,363,
1996-12,558,
1997-01,1631,
1997-02,807,
1997-03,625,
1997-04,716,
1997-05,394,
1997-06,794,
1997-07,619,
1997-08,398,
1997-09,316,
1997-10,304,
1997-11,277,
1997-12,313,
1998-01,1361,
1998-02,628,
1998-03,462,
1998-04,531,
1998-05,339,
1998-06,613,
1998-07,616,
1998-08,386,
1998-09,323,
1998-10,416,
1998-11,520,
1998-12,543,
1999-01,2154,
1999-02,1213,
1999-03,973,
1999-04,1058,
1999-05,905,
1999-06,1154,
1999-07,1084,
1999-08,693,
1999-09,550,
1999-10,855,
1999-11,458,
1999-12,485,
2000-01,1025,
2000-02,411,
2000-03,604,
2000-04,288,
2000-05,205,
2000-06,562,
2000-07,354,
2000-08,268,
2000-09,267,
2000-10,284,
2000-11,320,
2000-12,345,
2001-01,1045,
2001-02,2751,
2001-03,516,
2001-04,627,
2001-05,733,
2001-06,1181,
2001-07,1169,
2001-08,1138,
2001-09,1151,
2001-10,1420,
2001-11,1522,
2001-12,1845,
2002-01,3938,
2002-02,2129,
2002-03,1884,
2002-04,1441,
2002-05,1160,
2002-06,1940,
2002-07,1845,
2002-08,1269,
2002-09,1228,
2002-10,1343,
2002-11,1375,
2002-12,1350,
2003-01,4092,
2003-02,2783,
2003-03,2192,
2003-04,2291,
2003-05,1882,
2003-06,2881,
2003-07,2242,
2003-08,1370,
2003-09,1118,
2003-10,1307,
2003-11,879,
2003-12,1267,
2004-01,3028,
2004-02,1583,
2004-03,1991,
2004-04,1581,
2004-05,1206,
2004-06,1843,
2004-07,1706,
2004-08,1172,
2004-09,1438,
2004-10,2437,
2004-11,1126,
2004-12,1530,
2005-01,2664,
2005-02,2019,
2005-03,1057,
2005-04,1222,
2005-05,1068,
2005-06,1916,
2005-07,1653,
2005-08,1144,
2005-09,1115,
2005-10,1163,
2005-11,1220,
2005-12,1380,
2006-01,2214,
2006-02,1105,
2006-03,1005,
2006-04,991,
2006-05,1068,
2006-06,1215,
2006-07,1016,
2006-08,1020,
2006-09,959,
2006-10,1389,
2006-11,1156,
2006-12,1886,
2007-01,2871,
2007-02,1652,
2007-03,1865,
2007-04,1241,
2007-05,1801,
2007-06,2145,
2007-07,2669,
2007-08,1378,
2007-09,1078,
2007-10,1488,
2007-11,1702,
2007-12,2081,
2008-01,2873,
2008-02,2269,
2008-03,1570,
2008-04,1938,
2008-05,2031,
2008-06,2424,
2008-07,2868,
2008-08,1679,
2008-09,1793,
2008-10,1805,
2008-11,626,
2008-12,1470,
2009-01,1298,
2009-02,758,
2009-03,964,
2009-04,909,
2009-05,1021,
2009-06,1876,
2009-07,1736,
2009-08,1334,
2009-09,1622,
2009-10,5377,
2009-11,1178,
2009-12,1638,
2010-01,2423,
2010-02,1785,
2010-03,1523,
2010-04,1083,
2010-05,730,
2010-06,933,
2010-07,1090,
2010-08,543,
2010-09,412,
2010-10,1962,
2010-11,602,
2010-12,720,
2011-01,1011,
2011-02,580,
2011-03,590,
2011-04,390,
2011-05,651,
2011-06,841,
2011-07,705,
2011-08,524,
2011-09,587,
2011-10,406,
2011-11,467,
2011-12,770,
2012-01,1132,
2012-02,1078,
2012-03,788,
2012-04,510,
2012-05,501,
2012-06,969,
2012-07,1160,
2012-08,564,
2012-09,687,
2012-10,683,
2012-11,531,
2012-12,962,
2013-01,1070,
2013-02,549,
2013-03,588,
2013-04,571,
2013-05,514,
2013-06,1113,
2013-07,985,
2013-08,131,
2013-09,190,
2013-10,322,
2013-11,464,
2013-12,565,
2014-01,777,
2014-02,310,
2014-03,351,
2014-04,315,
2014-05,271,
2014-06,632,
2014-07,675,
2014-08,283,
2014-09,393,
2014-10,360,
2014-11,443,
