"",BBK01.OEAA41S,BBK01.OEAA41S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:10,
2002-01,3.541,
2002-04,3.503,
2002-07,3.604,
2002-10,3.790,
2003-01,3.653,
2003-04,3.668,
2003-07,3.727,
2003-10,4.077,
2004-01,3.889,
2004-04,3.927,
2004-07,4.030,
2004-10,4.656,
2005-01,4.799,
2005-04,4.728,
2005-07,4.821,
2005-10,4.766,
2006-01,4.809,
2006-04,4.826,
2006-07,4.895,
2006-10,4.824,
2007-01,5.050,
2007-04,5.141,
2007-07,5.133,
2007-10,5.065,
2008-01,5.184,
2008-04,5.359,
2008-07,5.481,
2008-10,5.434,
2009-01,5.395,
2009-04,5.586,
2009-07,5.567,
2009-10,5.494,
2010-01,5.690,
2010-04,6.001,
2010-07,6.052,
2010-10,6.087,
2011-01,6.268,
2011-04,6.495,
2011-07,6.660,
2011-10,6.881,
2012-01,6.861,
2012-04,6.717,
2012-07,6.692,
2012-10,6.679,
2013-01,6.581,
2013-04,6.492,
2013-07,6.411,
2013-10,6.325,
2014-01,6.226,
2014-04,6.060,
2014-07,6.081,
