"",BBK01.OEYI02J,BBK01.OEYI02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:42,
2002-01,0.798,
2002-04,1.018,
2002-07,0.992,
2002-10,1.000,
2003-01,0.988,
2003-04,1.059,
2003-07,0.983,
2003-10,1.055,
2004-01,1.165,
2004-04,1.205,
2004-07,1.164,
2004-10,1.203,
2005-01,1.167,
2005-04,1.304,
2005-07,1.369,
2005-10,1.235,
2006-01,1.352,
2006-04,1.453,
2006-07,1.233,
2006-10,1.358,
2007-01,1.399,
2007-04,1.503,
2007-07,1.927,
2007-10,1.538,
2008-01,1.529,
2008-04,1.619,
2008-07,2.050,
2008-10,1.979,
2009-01,1.880,
2009-04,1.948,
2009-07,1.529,
2009-10,1.544,
2010-01,1.538,
2010-04,2.022,
2010-07,1.601,
2010-10,1.616,
2011-01,1.972,
2011-04,2.131,
2011-07,1.996,
2011-10,1.643,
2012-01,1.738,
2012-04,2.102,
2012-07,2.117,
2012-10,2.444,
2013-01,2.471,
2013-04,2.441,
2013-07,2.574,
2013-10,2.268,
2014-01,2.078,
2014-04,2.012,
2014-07,2.226,
