"",BBFN1.M.DE.N.1.L.A1.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.A1.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:20,
1995-01,6.473,
1995-02,6.362,
1995-03,6.267,
1995-04,6.248,
1995-05,6.276,
1995-06,7.113,
1995-07,7.088,
1995-08,7.106,
1995-09,7.919,
1995-10,8.504,
1995-11,8.786,
1995-12,8.639,
1996-01,8.719,
1996-02,9.073,
1996-03,8.942,
1996-04,8.981,
1996-05,9.008,
1996-06,9.104,
1996-07,9.090,
1996-08,9.101,
1996-09,9.218,
1996-10,9.107,
1996-11,9.156,
1996-12,9.447,
1997-01,9.623,
1997-02,9.549,
1997-03,9.768,
1997-04,9.567,
1997-05,9.557,
1997-06,9.622,
1997-07,9.690,
1997-08,9.946,
1997-09,10.062,
1997-10,9.865,
1997-11,9.882,
1997-12,10.452,
1998-01,10.575,
1998-02,11.186,
1998-03,11.242,
1998-04,11.252,
1998-05,11.042,
1998-06,11.602,
1998-07,11.756,
1998-08,11.523,
1998-09,11.706,
1998-10,11.120,
1998-11,11.648,
1998-12,14.478,
1999-01,14.921,
1999-02,15.283,
1999-03,15.701,
1999-04,16.061,
1999-05,16.290,
1999-06,16.286,
1999-07,16.176,
1999-08,16.142,
1999-09,16.117,
1999-10,16.236,
1999-11,17.360,
1999-12,17.604,
2000-01,17.626,
2000-02,17.900,
2000-03,18.269,
2000-04,18.772,
2000-05,20.054,
2000-06,19.249,
2000-07,19.282,
2000-08,19.215,
2000-09,19.218,
2000-10,19.260,
2000-11,22.601,
2000-12,23.069,
2001-01,22.538,
2001-02,22.966,
2001-03,23.614,
2001-04,24.542,
2001-05,25.163,
2001-06,25.481,
2001-07,25.503,
2001-08,30.951,
2001-09,31.548,
2001-10,31.991,
2001-11,31.844,
2001-12,32.947,
2002-01,32.903,
2002-02,33.361,
2002-03,28.308,
2002-04,31.224,
2002-05,31.435,
2002-06,31.637,
2002-07,31.428,
2002-08,31.543,
2002-09,31.461,
2002-10,31.943,
2002-11,34.548,
2002-12,34.313,
2003-01,34.162,
2003-02,34.280,
2003-03,34.193,
2003-04,34.557,
2003-05,35.010,
2003-06,35.054,
2003-07,36.231,
2003-08,35.488,
2003-09,35.434,
2003-10,35.247,
2003-11,35.311,
2003-12,29.287,
2004-01,30.122,
2004-02,31.177,
2004-03,31.633,
2004-04,32.240,
2004-05,31.828,
2004-06,30.882,
2004-07,30.597,
2004-08,30.221,
2004-09,30.031,
2004-10,29.755,
2004-11,29.405,
2004-12,28.982,
2005-01,29.657,
2005-02,29.866,
2005-03,29.936,
2005-04,29.944,
2005-05,30.073,
2005-06,29.271,
2005-07,28.496,
2005-08,28.575,
2005-09,28.134,
2005-10,28.016,
2005-11,27.872,
2005-12,24.644,
2006-01,25.555,
2006-02,25.761,
2006-03,26.436,
2006-04,26.555,
2006-05,26.360,
2006-06,28.294,
2006-07,28.564,
2006-08,28.295,
2006-09,26.496,
2006-10,25.917,
2006-11,26.670,
2006-12,28.860,
2007-01,29.289,
2007-02,29.659,
2007-03,28.703,
2007-04,28.242,
2007-05,27.787,
2007-06,27.930,
2007-07,27.922,
2007-08,27.543,
2007-09,27.411,
2007-10,27.488,
2007-11,27.458,
2007-12,27.756,
2008-01,30.054,
2008-02,32.177,
2008-03,31.973,
2008-04,32.661,
2008-05,32.649,
2008-06,33.392,
2008-07,33.434,
2008-08,33.603,
2008-09,35.237,
2008-10,35.122,
2008-11,35.460,
2008-12,33.899,
2009-01,34.687,
2009-02,34.766,
2009-03,32.484,
2009-04,33.288,
2009-05,33.497,
2009-06,33.459,
2009-07,33.530,
2009-08,34.038,
2009-09,34.277,
2009-10,34.420,
2009-11,34.541,
2009-12,33.830,
2010-01,34.635,
2010-02,34.647,
2010-03,35.202,
2010-04,35.294,
2010-05,39.313,
2010-06,39.990,
2010-07,40.045,
2010-08,40.653,
2010-09,40.128,
2010-10,40.019,
2010-11,42.502,
2010-12,42.642,
2011-01,43.166,
2011-02,42.592,
2011-03,42.594,
2011-04,42.773,
2011-05,42.966,
2011-06,42.842,
2011-07,42.993,
2011-08,42.853,
2011-09,43.386,
2011-10,42.681,
2011-11,43.852,
2011-12,43.730,
2012-01,43.477,
2012-02,43.227,
2012-03,43.217,
2012-04,43.755,
2012-05,44.258,
2012-06,44.768,
2012-07,44.694,
2012-08,44.521,
2012-09,44.779,
2012-10,41.504,
2012-11,42.527,
2012-12,41.766,
2013-01,43.053,
2013-02,44.122,
2013-03,43.928,
2013-04,44.209,
2013-05,44.703,
2013-06,44.175,
2013-07,42.978,
2013-08,41.933,
2013-09,43.952,
2013-10,42.203,
2013-11,42.985,
2013-12,43.165,
2014-01,43.873,
2014-02,44.174,
2014-03,45.014,
2014-04,46.202,
2014-05,45.368,
2014-06,45.895,
2014-07,45.495,
2014-08,46.412,
2014-09,46.814,
2014-10,45.886,
2014-11,46.006,
2014-12,43.390,
"",General: Up to December including Niederl.Antillen,
