"",BBK01.OEBJ04M,BBK01.OEBJ04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:25,
2002-01,1.427,
2002-04,1.391,
2002-07,1.556,
2002-10,1.756,
2003-01,1.698,
2003-04,1.625,
2003-07,1.471,
2003-10,1.533,
2004-01,1.421,
2004-04,1.269,
2004-07,1.354,
2004-10,1.551,
2005-01,1.333,
2005-04,1.581,
2005-07,1.522,
2005-10,1.829,
2006-01,1.868,
2006-04,1.964,
2006-07,1.818,
2006-10,1.815,
2007-01,1.864,
2007-04,1.851,
2007-07,2.163,
2007-10,2.159,
2008-01,2.228,
2008-04,2.376,
2008-07,2.579,
2008-10,2.707,
2009-01,2.408,
2009-04,2.110,
2009-07,1.950,
2009-10,1.538,
2010-01,1.487,
2010-04,1.804,
2010-07,1.519,
2010-10,2.390,
2011-01,2.639,
2011-04,2.577,
2011-07,2.756,
2011-10,3.283,
2012-01,3.537,
2012-04,3.928,
2012-07,4.185,
2012-10,4.531,
2013-01,4.114,
2013-04,3.845,
2013-07,3.503,
2013-10,3.392,
2014-01,3.802,
2014-04,4.572,
2014-07,3.770,
