"",BBK01.OEAC34K,BBK01.OEAC34K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:14,
2002-01,0.272,
2002-04,0.287,
2002-07,0.294,
2002-10,0.286,
2003-01,0.311,
2003-04,0.277,
2003-07,0.306,
2003-10,0.291,
2004-01,0.252,
2004-04,0.321,
2004-07,0.362,
2004-10,0.333,
2005-01,0.336,
2005-04,0.313,
2005-07,0.296,
2005-10,0.242,
2006-01,0.228,
2006-04,0.217,
2006-07,0.248,
2006-10,0.271,
2007-01,0.279,
2007-04,0.327,
2007-07,0.290,
2007-10,0.360,
2008-01,0.402,
2008-04,0.412,
2008-07,0.437,
2008-10,0.494,
2009-01,0.971,
2009-04,1.133,
2009-07,1.136,
2009-10,1.138,
2010-01,0.901,
2010-04,0.812,
2010-07,0.829,
2010-10,0.802,
2011-01,0.761,
2011-04,0.589,
2011-07,0.643,
2011-10,0.661,
2012-01,0.534,
2012-04,0.490,
2012-07,0.643,
2012-10,0.657,
2013-01,0.723,
2013-04,0.778,
2013-07,0.846,
2013-10,0.852,
2014-01,0.917,
2014-04,0.967,
2014-07,1.015,
