"",BBK01.OEYM10H,BBK01.OEYM10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:26,
2002-01,8.757,
2002-04,8.747,
2002-07,8.693,
2002-10,8.652,
2003-01,8.594,
2003-04,8.535,
2003-07,8.433,
2003-10,8.384,
2004-01,8.279,
2004-04,8.227,
2004-07,8.153,
2004-10,8.063,
2005-01,7.960,
2005-04,7.862,
2005-07,7.780,
2005-10,7.694,
2006-01,7.643,
2006-04,7.591,
2006-07,7.556,
2006-10,7.501,
2007-01,7.450,
2007-04,7.408,
2007-07,7.280,
2007-10,7.229,
2008-01,7.131,
2008-04,7.109,
2008-07,7.016,
2008-10,6.987,
2009-01,6.932,
2009-04,6.879,
2009-07,6.843,
2009-10,6.800,
2010-01,6.717,
2010-04,6.656,
2010-07,6.604,
2010-10,6.523,
2011-01,6.457,
2011-04,6.374,
2011-07,6.346,
2011-10,6.280,
2012-01,6.198,
2012-04,6.098,
2012-07,6.045,
2012-10,5.949,
2013-01,5.861,
2013-04,5.668,
2013-07,5.628,
2013-10,5.549,
2014-01,5.492,
2014-04,5.402,
2014-07,5.416,
