"",BBK01.SUD284,BBK01.SUD284_FLAGS
"","New business (volumes) of German banks / Loans to non-financial corporations over EUR 1 million, floating rate or initial rate fixation up to 1 year , with original maturity over 1 year",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:45,
2010-06,20659,
2010-07,23675,
2010-08,13654,
2010-09,19496,
2010-10,20829,
2010-11,14853,
2010-12,20167,
2011-01,20141,
2011-02,13045,
2011-03,19543,
2011-04,18217,
2011-05,12529,
2011-06,19191,
2011-07,22709,
2011-08,12157,
2011-09,17868,
2011-10,20546,
2011-11,12304,
2011-12,19584,
2012-01,17958,
2012-02,12651,
2012-03,16604,
2012-04,17197,
2012-05,11386,
2012-06,17232,
2012-07,19497,
2012-08,12560,
2012-09,16232,
2012-10,18144,
2012-11,11908,
2012-12,18915,
2013-01,20705,
2013-02,11743,
2013-03,15598,
2013-04,15973,
2013-05,11347,
2013-06,16264,
2013-07,17152,
2013-08,10958,
2013-09,14757,
2013-10,18282,
2013-11,10825,
2013-12,18719,
2014-01,18002,
2014-02,10355,
2014-03,13232,
2014-04,20144,
2014-05,10593,
2014-06,13732,
2014-07,19277,
2014-08,9424,
2014-09,15309,
2014-10,18911,
2014-11,10679,
2014-12,19858,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. Excluding overdrafts. p = Provisional,
