"",BBK01.OEAA08L,BBK01.OEAA08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:18,
2002-01,9.826,
2002-04,8.914,
2002-07,8.892,
2002-10,10.264,
2003-01,10.275,
2003-04,10.061,
2003-07,9.874,
2003-10,6.589,
2004-01,4.388,
2004-04,4.252,
2004-07,4.310,
2004-10,4.197,
2005-01,4.894,
2005-04,4.556,
2005-07,3.433,
2005-10,3.712,
2006-01,2.416,
2006-04,2.500,
2006-07,2.803,
2006-10,2.763,
2007-01,2.652,
2007-04,2.671,
2007-07,2.645,
2007-10,2.988,
2008-01,26.045,
2008-04,2.885,
2008-07,3.080,
2008-10,3.080,
2009-01,3.017,
2009-04,2.473,
2009-07,2.300,
2009-10,2.285,
2010-01,2.222,
2010-04,2.142,
2010-07,2.118,
2010-10,2.088,
2011-01,1.912,
2011-04,1.975,
2011-07,1.935,
2011-10,1.897,
2012-01,1.512,
2012-04,1.465,
2012-07,1.572,
2012-10,1.547,
2013-01,1.671,
2013-04,1.449,
2013-07,1.452,
2013-10,1.436,
2014-01,1.329,
2014-04,1.382,
2014-07,1.814,
