"",BBK01.OEAH19P,BBK01.OEAH19P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:31,
2002-01,2.230,
2002-04,2.221,
2002-07,2.181,
2002-10,2.248,
2003-01,2.317,
2003-04,2.303,
2003-07,2.427,
2003-10,2.522,
2004-01,2.485,
2004-04,2.571,
2004-07,2.701,
2004-10,2.828,
2005-01,3.119,
2005-04,3.171,
2005-07,3.193,
2005-10,3.207,
2006-01,3.258,
2006-04,3.189,
2006-07,3.209,
2006-10,3.237,
2007-01,3.202,
2007-04,3.221,
2007-07,3.245,
2007-10,3.301,
2008-01,3.300,
2008-04,3.334,
2008-07,3.332,
2008-10,3.287,
2009-01,3.235,
2009-04,3.206,
2009-07,3.133,
2009-10,3.023,
2010-01,2.999,
2010-04,2.900,
2010-07,2.858,
2010-10,2.856,
2011-01,2.917,
2011-04,2.869,
2011-07,3.007,
2011-10,3.012,
2012-01,3.079,
2012-04,3.064,
2012-07,3.050,
2012-10,3.092,
2013-01,3.130,
2013-04,3.059,
2013-07,3.007,
2013-10,2.968,
2014-01,2.968,
2014-04,3.107,
2014-07,3.087,
