"",BBK01.OEYJ02L,BBK01.OEYJ02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:37,
2002-01,1.575,
2002-04,2.283,
2002-07,1.971,
2002-10,1.933,
2003-01,2.170,
2003-04,2.170,
2003-07,1.904,
2003-10,2.059,
2004-01,1.899,
2004-04,1.856,
2004-07,2.232,
2004-10,2.226,
2005-01,2.526,
2005-04,3.042,
2005-07,3.053,
2005-10,2.693,
2006-01,3.204,
2006-04,2.915,
2006-07,2.905,
2006-10,3.179,
2007-01,3.225,
2007-04,3.078,
2007-07,3.957,
2007-10,2.850,
2008-01,3.110,
2008-04,3.995,
2008-07,5.107,
2008-10,5.116,
2009-01,4.821,
2009-04,4.226,
2009-07,5.056,
2009-10,3.045,
2010-01,3.088,
2010-04,4.515,
2010-07,3.032,
2010-10,2.445,
2011-01,2.902,
2011-04,2.473,
2011-07,3.997,
2011-10,4.020,
2012-01,5.720,
2012-04,4.479,
2012-07,3.717,
2012-10,3.065,
2013-01,6.675,
2013-04,4.315,
2013-07,3.916,
2013-10,4.701,
2014-01,4.475,
2014-04,5.862,
2014-07,4.841,
