"",BBK01.OEAC26M,BBK01.OEAC26M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:24,
2002-01,0.563,
2002-04,0.570,
2002-07,0.510,
2002-10,0.461,
2003-01,0.420,
2003-04,0.475,
2003-07,0.427,
2003-10,0.450,
2004-01,0.411,
2004-04,0.409,
2004-07,0.384,
2004-10,0.383,
2005-01,0.357,
2005-04,0.344,
2005-07,0.343,
2005-10,0.317,
2006-01,0.271,
2006-04,0.276,
2006-07,0.290,
2006-10,0.406,
2007-01,0.414,
2007-04,0.415,
2007-07,0.402,
2007-10,0.269,
2008-01,0.265,
2008-04,0.279,
2008-07,0.236,
2008-10,0.255,
2009-01,0.241,
2009-04,0.242,
2009-07,0.233,
2009-10,0.229,
2010-01,0.217,
2010-04,0.190,
2010-07,0.174,
2010-10,0.185,
2011-01,0.206,
2011-04,0.212,
2011-07,0.205,
2011-10,0.211,
2012-01,0.199,
2012-04,0.202,
2012-07,0.210,
2012-10,0.193,
2013-01,0.218,
2013-04,0.259,
2013-07,0.281,
2013-10,0.296,
2014-01,0.249,
2014-04,0.265,
2014-07,0.266,
