"",BBK01.OEHM03Q,BBK01.OEHM03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:40,
2002-01,0.269,
2002-04,0.233,
2002-07,0.225,
2002-10,0.230,
2003-01,0.192,
2003-04,0.192,
2003-07,0.173,
2003-10,0.185,
2004-01,0.216,
2004-04,0.248,
2004-07,0.232,
2004-10,0.245,
2005-01,0.253,
2005-04,0.247,
2005-07,0.238,
2005-10,0.240,
2006-01,0.218,
2006-04,0.237,
2006-07,0.220,
2006-10,0.255,
2007-01,0.221,
2007-04,0.219,
2007-07,0.266,
2007-10,0.280,
2008-01,0.291,
2008-04,0.311,
2008-07,0.308,
2008-10,0.255,
2009-01,0.170,
2009-04,0.160,
2009-07,0.158,
2009-10,0.139,
2010-01,0.136,
2010-04,0.145,
2010-07,0.134,
2010-10,0.138,
2011-01,0.120,
2011-04,0.125,
2011-07,0.133,
2011-10,0.167,
2012-01,0.174,
2012-04,0.184,
2012-07,0.290,
2012-10,0.200,
2013-01,0.177,
2013-04,0.140,
2013-07,0.153,
2013-10,0.164,
2014-01,0.137,
2014-04,0.143,
2014-07,0.136,
