"",BBK01.OEBO04H,BBK01.OEBO04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:47,
2002-01,-0.146,
2002-04,-1.065,
2002-07,0.045,
2002-10,0.249,
2003-01,0.173,
2003-04,0.199,
2003-07,0.433,
2003-10,0.006,
2004-01,0.146,
2004-04,0.372,
2004-07,0.693,
2004-10,0.676,
2005-01,0.211,
2005-04,0.479,
2005-07,0.076,
2005-10,-0.449,
2006-01,-0.191,
2006-04,-0.254,
2006-07,-0.531,
2006-10,-0.461,
2007-01,0.283,
2007-04,-0.226,
2007-07,-0.372,
2007-10,0.194,
2008-01,-0.070,
2008-04,0.256,
2008-07,-0.399,
2008-10,1.086,
2009-01,0.751,
2009-04,0.706,
2009-07,1.163,
2009-10,0.324,
2010-01,0.033,
2010-04,-0.112,
2010-07,0.287,
2010-10,1.212,
2011-01,0.598,
2011-04,-0.750,
2011-07,-0.362,
2011-10,0.863,
2012-01,1.576,
2012-04,-0.447,
2012-07,0.017,
2012-10,0.071,
2013-01,-0.478,
2013-04,-0.903,
2013-07,-0.898,
2013-10,-0.673,
2014-01,-0.812,
2014-04,-0.381,
2014-07,0.343,
