"",BBK01.CEB4Q1,BBK01.CEB4Q1_FLAGS
"",Loans debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:41,
1991-01,26.7,
1991-04,26.6,
1991-07,25.0,
1991-10,21.9,
1992-01,21.8,
1992-04,21.3,
1992-07,20.3,
1992-10,17.7,
1993-01,16.5,
1993-04,16.6,
1993-07,16.9,
1993-10,16.7,
1994-01,17.8,
1994-04,18.9,
1994-07,19.8,
1994-10,25.4,
1995-01,32.8,
1995-04,33.6,
1995-07,34.8,
1995-10,33.3,
1996-01,32.9,
1996-04,33.3,
1996-07,31.5,
1996-10,32.6,
1997-01,34.7,
1997-04,31.3,
1997-07,32.8,
1997-10,32.7,
1998-01,34.7,
1998-04,36.5,
1998-07,38.3,
1998-10,40.6,
1999-01,42.9,
1999-04,47.8,
1999-07,54.9,
1999-10,51.6,
2000-01,50.6,
2000-04,54.9,
2000-07,65.4,
2000-10,68.6,
2001-01,75.6,
2001-04,78.2,
2001-07,75.5,
2001-10,80.6,
2002-01,83.6,
2002-04,79.3,
2002-07,82.3,
2002-10,73.5,
2003-01,79.7,
2003-04,79.1,
2003-07,82.9,
2003-10,81.2,
2004-01,80.1,
2004-04,81.8,
2004-07,86.9,
2004-10,83.7,
2005-01,91.1,
2005-04,93.0,
2005-07,91.6,
2005-10,91.7,
2006-01,93.9,
2006-04,99.7,
2006-07,104.5,
2006-10,102.6,
2007-01,109.6,
2007-04,109.9,
2007-07,117.1,
2007-10,115.1,
2008-01,118.9,
2008-04,124.5,
2008-07,121.2,
2008-10,115.6,
2009-01,123.8,
2009-04,121.2,
2009-07,125.2,
2009-10,126.8,
2010-01,136.8,
2010-04,143.9,
2010-07,144.7,
2010-10,141.6,
2011-01,148.4,
2011-04,145.5,
2011-07,144.4,
2011-10,146.3,
2012-01,150.6,
2012-04,155.8,
2012-07,151.2,
2012-10,149.4,
2013-01,155.5,
2013-04,163.3,
2013-07,164.7,
2013-10,157.3,
2014-01,160.3,
