"",BBK01.OEAL03S,BBK01.OEAL03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:11,
2002-01,3.326,
2002-04,3.360,
2002-07,3.412,
2002-10,3.559,
2003-01,3.640,
2003-04,3.685,
2003-07,3.703,
2003-10,3.840,
2004-01,3.912,
2004-04,3.948,
2004-07,3.967,
2004-10,4.120,
2005-01,4.343,
2005-04,4.384,
2005-07,4.414,
2005-10,4.547,
2006-01,4.633,
2006-04,4.676,
2006-07,4.688,
2006-10,4.817,
2007-01,4.877,
2007-04,4.885,
2007-07,4.897,
2007-10,5.097,
2008-01,5.155,
2008-04,5.124,
2008-07,5.101,
2008-10,5.207,
2009-01,5.117,
2009-04,5.014,
2009-07,4.895,
2009-10,4.951,
2010-01,4.976,
2010-04,4.946,
2010-07,4.931,
2010-10,4.986,
2011-01,5.007,
2011-04,4.972,
2011-07,4.947,
2011-10,5.109,
2012-01,5.169,
2012-04,5.164,
2012-07,5.181,
2012-10,5.108,
2013-01,5.131,
2013-04,5.155,
2013-07,5.184,
2013-10,5.226,
2014-01,5.294,
2014-04,5.335,
2014-07,5.382,
