"",BBK01.CELR03,BBK01.CELR03_FLAGS
"",long-term time deposits                                      debtor: Total            creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:08,
1999-01,23.0,
1999-04,28.4,
1999-07,32.9,
1999-10,22.3,
2000-01,20.9,
2000-04,7.1,
2000-07,15.0,
2000-10,1.8,
2001-01,9.2,
2001-04,7.0,
2001-07,8.9,
2001-10,5.7,
2002-01,5.7,
2002-04,2.7,
2002-07,0.4,
2002-10,3.6,
2003-01,-0.9,
2003-04,7.6,
2003-07,-7.2,
2003-10,8.3,
2004-01,-6.9,
2004-04,-4.4,
2004-07,2.2,
2004-10,-2.4,
2005-01,9.3,
2005-04,25.1,
2005-07,10.5,
2005-10,6.4,
2006-01,2.4,
2006-04,16.3,
2006-07,6.9,
2006-10,16.8,
2007-01,4.6,
2007-04,15.1,
2007-07,20.6,
2007-10,21.2,
2008-01,7.8,
2008-04,29.6,
2008-07,39.5,
2008-10,11.8,
2009-01,3.3,
2009-04,8.3,
2009-07,-27.5,
2009-10,-18.2,
2010-01,-6.9,
2010-04,-6.0,
2010-07,-31.0,
2010-10,-12.1,
2011-01,1.5,
2011-04,14.1,
2011-07,6.3,
2011-10,43.6,
2012-01,14.8,
2012-04,-3.4,
2012-07,-10.0,
2012-10,-17.5,
2013-01,-58.2,
2013-04,-21.5,
2013-07,-13.1,
2013-10,-21.7,
2014-01,-5.1,
2014-04,-7.1,
2014-07,9.7,
