"",BBK01.OEAH90K,BBK01.OEAH90K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:01,
2002-01,0.041,
2002-04,0.032,
2002-07,0.026,
2002-10,0.007,
2003-01,0.020,
2003-04,0.010,
2003-07,0.043,
2003-10,0.053,
2004-01,0.061,
2004-04,0.057,
2004-07,0.024,
2004-10,0.019,
2005-01,0.019,
2005-04,0.039,
2005-07,0.033,
2005-10,0.010,
2006-01,0.016,
2006-04,0.017,
2006-07,0.013,
2006-10,0.010,
2007-01,0.013,
2007-04,0.016,
2007-07,0.014,
2007-10,0.017,
2008-01,0.051,
2008-04,0.060,
2008-07,0.084,
2008-10,0.095,
2009-01,0.097,
2009-04,0.088,
2009-07,0.067,
2009-10,0.029,
2010-01,0.025,
2010-04,0.033,
2010-07,0.031,
2010-10,0.035,
2011-01,0.035,
2011-04,0.050,
2011-07,0.052,
2011-10,0.048,
2012-01,0.053,
2012-04,0.036,
2012-07,0.025,
2012-10,0.032,
2013-01,0.030,
2013-04,0.032,
2013-07,0.052,
2013-10,0.031,
2014-01,0.024,
2014-04,0.018,
2014-07,0.017,
