"",BBK01.OEXK03T,BBK01.OEXK03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:15,
2002-01,0.051,
2002-04,0.048,
2002-07,0.046,
2002-10,0.048,
2003-01,0.048,
2003-04,0.035,
2003-07,0.050,
2003-10,0.051,
2004-01,0.048,
2004-04,0.043,
2004-07,0.047,
2004-10,0.043,
2005-01,0.037,
2005-04,0.036,
2005-07,0.024,
2005-10,0.022,
2006-01,0.021,
2006-04,0.022,
2006-07,0.025,
2006-10,0.028,
2007-01,0.027,
2007-04,0.027,
2007-07,0.029,
2007-10,0.033,
2008-01,0.036,
2008-04,0.038,
2008-07,0.057,
2008-10,0.051,
2009-01,0.032,
2009-04,0.016,
2009-07,0.005,
2009-10,0.003,
2010-01,0.004,
2010-04,0.004,
2010-07,0.003,
2010-10,0.003,
2011-01,0.005,
2011-04,0.005,
2011-07,0.005,
2011-10,0.004,
2012-01,0.014,
2012-04,0.014,
2012-07,0.012,
2012-10,0.013,
2013-01,0.014,
2013-04,0.014,
2013-07,0.013,
2013-10,0.013,
2014-01,0.013,
2014-04,0.010,
2014-07,0.009,
