"",BBK01.OEAO05G,BBK01.OEAO05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:30,
2002-01,0.360,
2002-04,0.265,
2002-07,0.274,
2002-10,2.750,
2003-01,0.325,
2003-04,0.216,
2003-07,0.218,
2003-10,2.413,
2004-01,0.253,
2004-04,0.178,
2004-07,0.173,
2004-10,2.297,
2005-01,0.184,
2005-04,0.154,
2005-07,0.206,
2005-10,1.702,
2006-01,0.165,
2006-04,0.143,
2006-07,0.162,
2006-10,1.765,
2007-01,0.180,
2007-04,0.168,
2007-07,0.197,
2007-10,1.910,
2008-01,0.232,
2008-04,0.195,
2008-07,0.227,
2008-10,1.912,
2009-01,0.210,
2009-04,0.228,
2009-07,0.268,
2009-10,1.608,
2010-01,0.178,
2010-04,0.154,
2010-07,0.186,
2010-10,1.428,
2011-01,0.135,
2011-04,0.150,
2011-07,0.167,
2011-10,1.347,
2012-01,0.136,
2012-04,0.146,
2012-07,0.165,
2012-10,1.268,
2013-01,0.138,
2013-04,0.131,
2013-07,0.111,
2013-10,0.944,
2014-01,0.092,
2014-04,0.107,
2014-07,0.100,
