"",BBEX3.M.SGD.USD.CA.AC.A01,BBEX3.M.SGD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Singapore / USD 1 = SGD ... (middle),
unit,SGD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:54,
1989-01,1.93150,
1989-02,1.92900,
1989-03,1.95900,
1989-04,1.95000,
1989-05,1.95875,
1989-06,1.96450,
1989-07,1.95550,
1989-08,1.96700,
1989-09,1.96350,
1989-10,1.95725,
1989-11,1.95050,
1989-12,1.89950,
1990-01,1.86650,
1990-02,1.86800,
1990-03,1.88500,
1990-04,1.87700,
1990-05,1.84950,
1990-06,1.83975,
1990-07,1.81175,
1990-08,1.76725,
1990-09,1.76150,
1990-10,1.70975,
1990-11,1.71650,
1990-12,1.73550,
1991-01,1.73000,
1991-02,1.72220,
1991-03,1.78850,
1991-04,1.77050,
1991-05,1.76350,
1991-06,1.76550,
1991-07,1.74950,
1991-08,1.72250,
1991-09,1.69050,
1991-10,1.69050,
1991-11,1.66015,
1991-12,1.62800,
1992-01,1.63250,
1992-02,1.63950,
1992-03,1.65750,
1992-04,1.65550,
1992-05,1.63250,
1992-06,1.61800,
1992-07,1.61300,
1992-08,1.59850,
1992-09,1.59150,
1992-10,1.61650,
1992-11,1.63650,
1992-12,1.64100,
1993-01,1.63850,
1993-02,1.64400,
1993-03,1.64150,
1993-04,1.61350,
1993-05,1.60800,
1993-06,1.62250,
1993-07,1.61850,
1993-08,1.60700,
1993-09,1.58900,
1993-10,1.58500,
1993-11,1.60150,
1993-12,1.60700,
1994-01,1.59600,
1994-02,1.58350,
1994-03,1.56900,
1994-04,1.55400,
1994-05,1.53400,
1994-06,1.52400,
1994-07,1.51150,
1994-08,1.50050,
1994-09,1.48400,
1994-10,1.47250,
1994-11,1.46300,
1994-12,1.46300,
1995-01,1.45150,
1995-02,1.45100,
1995-03,1.42000,
1995-04,1.39350,
1995-05,1.39050,
1995-06,1.39700,
1995-07,1.39450,
1995-08,1.42600,
1995-09,1.42200,
1995-10,1.41750,
1995-11,1.41300,
1995-12,1.41300,
1996-01,1.42100,
1996-02,1.41350,
1996-03,1.40800,
1996-04,1.40700,
1996-05,1.41100,
1996-06,1.41150,
1996-07,1.41500,
1996-08,1.40800,
1996-09,1.40800,
1996-10,1.40950,
1996-11,1.40300,
1996-12,1.40050,
1997-01,1.40750,
1997-02,1.42500,
1997-03,1.44450,
1997-04,1.44700,
1997-05,1.43000,
1997-06,1.43000,
1997-07,1.46900,
1997-08,1.53600,
1997-09,1.52600,
1997-10,1.59050,
1997-11,1.59300,
1997-12,1.67700,
1998-01,1.74850,
1998-02,1.61100,
1998-03,1.60550,
1998-04,1.58550,
1998-05,1.67800,
1998-06,1.70650,
1998-07,1.72250,
1998-08,1.77590,
1998-09,1.68900,
1998-10,1.62300,
1998-11,1.65250,
1998-12,1.65900,
1999-01,1.69000,
1999-02,1.72315,
1999-03,1.73000,
1999-04,1.69300,
1999-05,1.72800,
