"",BBFI1.Q.N.DE.W1.S121.S1.KA.L.FA.O.F2.L._T.N.N,BBFI1.Q.N.DE.W1.S121.S1.KA.L.FA.O.F2.L._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Central bank - Long-term original maturity (over 1 year) - Liabilities - Other changes excluding transactions and revaluations,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:49,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
