"",BBDA1.M.DE.Y.IM.S.GP09IS07.W1.A.C.A10.A,BBDA1.M.DE.Y.IM.S.GP09IS07.W1.A.C.A10.A_FLAGS
"",German foreign trade: imports / At constant prices / Energy / Rest of the World / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:38,
2008-01,8.53,
2008-02,8.07,
2008-03,7.76,
2008-04,8.21,
2008-05,7.58,
2008-06,7.44,
2008-07,8.45,
2008-08,7.46,
2008-09,7.94,
2008-10,8.25,
2008-11,8.00,
2008-12,7.54,
2009-01,8.26,
2009-02,7.65,
2009-03,7.93,
2009-04,7.05,
2009-05,7.47,
2009-06,7.04,
2009-07,7.29,
2009-08,7.53,
2009-09,8.36,
2009-10,7.63,
2009-11,6.85,
2009-12,7.16,
2010-01,7.32,
2010-02,7.02,
2010-03,8.45,
2010-04,7.63,
2010-05,7.83,
2010-06,8.03,
2010-07,7.31,
2010-08,7.90,
2010-09,6.93,
2010-10,7.74,
2010-11,7.79,
2010-12,7.34,
2011-01,8.05,
2011-02,8.05,
2011-03,7.97,
2011-04,8.10,
2011-05,7.39,
2011-06,6.73,
2011-07,8.60,
2011-08,7.36,
2011-09,7.61,
2011-10,7.81,
2011-11,7.86,
2011-12,7.55,
2012-01,6.85,
2012-02,6.89,
2012-03,7.86,
2012-04,6.55,
2012-05,6.74,
2012-06,6.86,
2012-07,6.68,
2012-08,6.51,
2012-09,6.88,
2012-10,7.67,
2012-11,6.17,
2012-12,7.23,
2013-01,7.32,
2013-02,7.29,
2013-03,6.99,
2013-04,6.64,
2013-05,7.09,
2013-06,7.31,
2013-07,7.29,
2013-08,7.89,
2013-09,6.81,
2013-10,6.84,
2013-11,7.02,
2013-12,6.97,
2014-01,7.42,
2014-02,7.09,
2014-03,7.14,
2014-04,6.62,
2014-05,7.11,
2014-06,6.63,
2014-07,6.82,
2014-08,7.10,
2014-09,7.20,
2014-10,7.22,
2014-11,7.53,
2014-12,7.46,
