"",BBK01.OEYL04G,BBK01.OEYL04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:13,
2002-01,0.915,
2002-04,0.846,
2002-07,0.758,
2002-10,0.809,
2003-01,0.677,
2003-04,0.678,
2003-07,0.608,
2003-10,0.578,
2004-01,0.510,
2004-04,0.465,
2004-07,0.498,
2004-10,0.475,
2005-01,0.437,
2005-04,0.406,
2005-07,0.589,
2005-10,0.611,
2006-01,0.624,
2006-04,0.656,
2006-07,0.730,
2006-10,0.888,
2007-01,1.080,
2007-04,1.433,
2007-07,1.691,
2007-10,2.187,
2008-01,2.072,
2008-04,2.651,
2008-07,2.869,
2008-10,2.694,
2009-01,2.085,
2009-04,1.547,
2009-07,1.119,
2009-10,0.716,
2010-01,0.498,
2010-04,0.242,
2010-07,0.228,
2010-10,0.260,
2011-01,0.309,
2011-04,0.390,
2011-07,0.437,
2011-10,0.323,
2012-01,0.384,
2012-04,0.253,
2012-07,0.205,
2012-10,0.173,
2013-01,0.159,
2013-04,0.141,
2013-07,0.139,
2013-10,0.126,
2014-01,0.116,
2014-04,0.117,
2014-07,0.098,
