"",BBFN1.M.DE.N.1.L.W1.S1P.H2.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H2.T.NV00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from advance payments received / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:23,
1974-12,0.605,
1975-01,0.556,
1975-02,0.596,
1975-03,0.572,
1975-04,0.671,
1975-05,0.734,
1975-06,0.615,
1975-07,0.646,
1975-08,0.813,
1975-09,1.186,
1975-10,1.142,
1975-11,1.047,
1975-12,0.749,
1976-01,0.696,
1976-02,0.982,
1976-03,0.910,
1976-04,0.787,
1976-05,0.719,
1976-06,0.667,
1976-07,0.688,
1976-08,0.678,
1976-09,0.676,
1976-10,0.731,
1976-11,0.720,
1976-12,0.584,
1977-01,0.632,
1977-02,0.598,
1977-03,0.610,
1977-04,0.637,
1977-05,0.641,
1977-06,0.665,
1977-07,0.673,
1977-08,0.712,
1977-09,0.777,
1977-10,0.650,
1977-11,0.602,
1977-12,0.469,
1978-01,0.485,
1978-02,0.585,
1978-03,0.626,
1978-04,0.701,
1978-05,0.633,
1978-06,0.648,
1978-07,0.650,
1978-08,0.648,
1978-09,0.570,
1978-10,0.646,
1978-11,0.665,
1978-12,0.559,
1979-01,0.649,
1979-02,0.715,
1979-03,0.781,
1979-04,0.795,
1979-05,0.645,
1979-06,0.643,
1979-07,0.586,
1979-08,0.571,
1979-09,0.513,
1979-10,0.503,
1979-11,0.534,
1979-12,0.458,
1980-01,0.491,
1980-02,0.532,
1980-03,0.558,
1980-04,0.534,
1980-05,0.529,
1980-06,0.508,
1980-07,0.561,
1980-08,0.543,
1980-09,0.613,
1980-10,0.498,
1980-11,1.088,
1980-12,0.984,
1981-01,1.081,
1981-02,1.476,
1981-03,1.501,
1981-04,1.671,
1981-05,1.536,
1981-06,1.387,
1981-07,1.297,
1981-08,1.292,
1981-09,1.184,
1981-10,1.094,
1981-11,0.915,
1981-12,0.902,
1982-01,0.844,
1982-02,0.961,
1982-03,0.991,
1982-04,1.081,
1982-05,1.159,
1982-06,1.067,
1982-07,0.974,
1982-08,0.941,
1982-09,0.931,
1982-10,0.820,
1982-11,0.761,
1982-12,0.714,
1983-01,0.842,
1983-02,0.894,
1983-03,1.039,
1983-04,0.941,
1983-05,0.932,
1983-06,0.904,
1983-07,1.009,
1983-08,1.201,
1983-09,0.929,
1983-10,0.841,
1983-11,0.874,
1983-12,0.856,
1984-01,0.930,
1984-02,0.932,
1984-03,0.947,
1984-04,1.098,
1984-05,0.987,
1984-06,0.931,
1984-07,0.917,
1984-08,0.984,
1984-09,1.073,
1984-10,1.005,
1984-11,1.118,
1984-12,1.055,
1985-01,1.073,
1985-02,1.113,
1985-03,1.070,
1985-04,1.038,
1985-05,1.084,
1985-06,1.152,
1985-07,1.164,
1985-08,1.191,
1985-09,1.061,
1985-10,1.088,
1985-11,0.962,
1985-12,0.975,
1986-01,0.987,
1986-02,1.058,
1986-03,1.099,
1986-04,1.049,
1986-05,1.147,
1986-06,1.114,
1986-07,1.161,
1986-08,1.157,
1986-09,1.110,
1986-10,1.129,
1986-11,1.114,
1986-12,0.999,
1987-01,1.061,
1987-02,1.067,
1987-03,1.128,
1987-04,1.128,
1987-05,1.083,
1987-06,1.162,
1987-07,1.116,
1987-08,1.164,
1987-09,1.114,
1987-10,1.239,
1987-11,1.210,
1987-12,1.210,
1988-01,1.130,
1988-02,1.116,
1988-03,1.142,
1988-04,1.142,
1988-05,1.227,
1988-06,1.199,
1988-07,1.137,
1988-08,1.131,
1988-09,1.081,
1988-10,1.208,
1988-11,1.117,
1988-12,1.145,
1989-01,1.101,
1989-02,1.155,
1989-03,1.191,
1989-04,1.192,
1989-05,1.239,
1989-06,1.284,
1989-07,1.364,
1989-08,1.364,
1989-09,1.319,
1989-10,1.409,
1989-11,1.491,
1989-12,1.763,
1990-01,1.844,
1990-02,1.773,
1990-03,1.675,
1990-04,1.772,
1990-05,1.699,
1990-06,1.664,
1990-07,1.666,
1990-08,1.742,
1990-09,1.599,
1990-10,1.849,
1990-11,1.898,
1990-12,1.817,
1991-01,1.882,
1991-02,1.897,
1991-03,2.212,
1991-04,2.335,
1991-05,2.395,
1991-06,2.411,
1991-07,2.409,
1991-08,2.386,
1991-09,2.253,
1991-10,2.495,
1991-11,2.154,
1991-12,2.065,
1992-01,2.179,
1992-02,2.182,
1992-03,2.149,
1992-04,2.108,
1992-05,2.189,
1992-06,2.501,
1992-07,2.466,
1992-08,2.528,
1992-09,2.453,
1992-10,2.512,
1992-11,2.494,
1992-12,2.428,
1993-01,2.359,
1993-02,2.147,
1993-03,2.180,
1993-04,2.231,
1993-05,2.179,
1993-06,2.142,
1993-07,2.237,
1993-08,2.059,
1993-09,1.869,
1993-10,1.997,
1993-11,1.852,
1993-12,1.784,
1994-01,1.767,
1994-02,1.627,
1994-03,1.821,
1994-04,1.819,
1994-05,1.943,
1994-06,1.838,
1994-07,2.196,
1994-08,2.261,
1994-09,1.958,
1994-10,2.462,
1994-11,2.504,
1994-12,2.394,
1995-01,2.418,
1995-02,2.336,
1995-03,2.253,
1995-04,2.339,
1995-05,2.258,
1995-06,2.362,
1995-07,2.359,
1995-08,2.423,
1995-09,2.088,
1995-10,2.197,
1995-11,2.093,
1995-12,2.000,
1996-01,1.970,
1996-02,1.989,
1996-03,1.990,
1996-04,1.996,
1996-05,2.053,
1996-06,2.157,
1996-07,2.144,
1996-08,2.186,
1996-09,1.769,
1996-10,1.865,
1996-11,2.250,
1996-12,2.407,
1997-01,2.462,
1997-02,2.451,
1997-03,2.321,
1997-04,2.319,
1997-05,2.329,
1997-06,2.339,
1997-07,2.373,
1997-08,2.423,
1997-09,2.213,
1997-10,2.111,
1997-11,2.151,
1997-12,2.226,
1998-01,2.271,
1998-02,2.328,
1998-03,2.152,
1998-04,2.170,
1998-05,2.195,
1998-06,2.358,
1998-07,2.452,
1998-08,2.520,
1998-09,2.345,
1998-10,2.360,
1998-11,2.285,
1998-12,2.187,
1999-01,2.318,
1999-02,2.292,
1999-03,2.243,
1999-04,2.198,
1999-05,2.197,
1999-06,2.501,
1999-07,2.426,
1999-08,2.384,
1999-09,2.101,
1999-10,2.183,
1999-11,2.310,
1999-12,2.251,
2000-01,2.281,
2000-02,2.328,
2000-03,2.407,
2000-04,2.294,
2000-05,2.335,
2000-06,2.502,
2000-07,2.657,
2000-08,2.994,
2000-09,2.855,
2000-10,2.969,
2000-11,3.046,
2000-12,3.123,
2001-01,3.126,
2001-02,3.199,
2001-03,3.170,
2001-04,3.327,
2001-05,3.399,
2001-06,3.551,
2001-07,3.391,
2001-08,3.823,
2001-09,3.718,
2001-10,3.759,
2001-11,3.785,
2001-12,3.685,
2002-01,3.743,
2002-02,3.879,
2002-03,4.005,
2002-04,3.740,
2002-05,4.074,
2002-06,4.114,
2002-07,4.106,
2002-08,4.133,
2002-09,3.893,
2002-10,4.365,
2002-11,4.018,
2002-12,3.981,
2003-01,4.021,
2003-02,3.872,
2003-03,3.849,
2003-04,4.614,
2003-05,4.237,
2003-06,4.130,
2003-07,4.716,
2003-08,4.904,
2003-09,5.004,
2003-10,5.064,
2003-11,4.963,
2003-12,4.760,
2004-01,4.866,
2004-02,4.790,
2004-03,6.030,
2004-04,6.248,
2004-05,6.400,
2004-06,6.158,
2004-07,6.227,
2004-08,5.497,
2004-09,5.433,
2004-10,5.611,
2004-11,5.687,
2004-12,5.552,
2005-01,5.674,
2005-02,5.749,
2005-03,5.500,
2005-04,5.626,
2005-05,5.644,
2005-06,5.584,
2005-07,5.643,
2005-08,5.760,
2005-09,5.526,
2005-10,5.470,
2005-11,5.395,
2005-12,5.438,
2006-01,5.612,
2006-02,5.911,
2006-03,6.135,
2006-04,6.249,
2006-05,6.202,
2006-06,6.125,
2006-07,6.474,
2006-08,6.834,
2006-09,6.638,
2006-10,6.652,
2006-11,6.666,
2006-12,6.623,
2007-01,6.707,
2007-02,6.803,
2007-03,6.942,
2007-04,7.160,
2007-05,7.120,
2007-06,7.188,
2007-07,7.358,
2007-08,7.486,
2007-09,7.273,
2007-10,7.374,
2007-11,7.296,
2007-12,7.148,
2008-01,7.408,
2008-02,7.424,
2008-03,7.563,
2008-04,7.767,
2008-05,7.667,
2008-06,7.896,
2008-07,7.927,
2008-08,8.110,
2008-09,7.874,
2008-10,7.970,
2008-11,8.112,
2008-12,7.876,
2009-01,8.075,
2009-02,8.012,
2009-03,7.861,
2009-04,7.990,
2009-05,8.006,
2009-06,7.977,
2009-07,8.229,
2009-08,8.233,
2009-09,7.937,
2009-10,7.832,
2009-11,8.012,
2009-12,8.266,
2010-01,8.447,
2010-02,8.528,
2010-03,8.407,
2010-04,8.520,
2010-05,8.602,
2010-06,8.639,
2010-07,8.688,
2010-08,8.595,
2010-09,8.599,
2010-10,8.815,
2010-11,8.693,
2010-12,9.304,
2011-01,10.315,
2011-02,10.399,
2011-03,10.747,
2011-04,10.844,
2011-05,10.859,
2011-06,10.591,
2011-07,10.901,
2011-08,10.964,
2011-09,11.047,
2011-10,11.057,
2011-11,11.064,
2011-12,11.270,
2012-01,11.473,
2012-02,11.390,
2012-03,11.027,
2012-04,10.994,
2012-05,11.077,
2012-06,11.037,
2012-07,11.157,
2012-08,11.148,
2012-09,11.389,
2012-10,10.613,
2012-11,10.791,
2012-12,10.972,
2013-01,11.194,
2013-02,11.032,
2013-03,10.979,
2013-04,11.158,
2013-05,10.726,
2013-06,10.437,
2013-07,10.154,
2013-08,9.868,
2013-09,10.191,
2013-10,10.743,
2013-11,10.535,
2013-12,10.397,
2014-01,10.648,
2014-02,10.735,
2014-03,10.458,
2014-04,10.552,
2014-05,10.671,
2014-06,10.333,
2014-07,10.577,
2014-08,10.499,
2014-09,10.771,
2014-10,10.549,
2014-11,10.675,
2014-12,11.069,
