"",BBK01.OEAK04G,BBK01.OEAK04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:23,
2002-01,3.971,
2002-04,3.901,
2002-07,3.999,
2002-10,3.972,
2003-01,3.678,
2003-04,3.523,
2003-07,3.206,
2003-10,3.087,
2004-01,2.894,
2004-04,2.785,
2004-07,2.764,
2004-10,2.739,
2005-01,2.445,
2005-04,2.393,
2005-07,2.557,
2005-10,2.675,
2006-01,2.707,
2006-04,2.792,
2006-07,2.943,
2006-10,3.099,
2007-01,3.223,
2007-04,3.335,
2007-07,3.831,
2007-10,4.619,
2008-01,4.711,
2008-04,5.140,
2008-07,5.428,
2008-10,5.696,
2009-01,4.133,
2009-04,3.592,
2009-07,2.859,
2009-10,2.306,
2010-01,1.992,
2010-04,1.764,
2010-07,1.789,
2010-10,1.841,
2011-01,1.885,
2011-04,1.931,
2011-07,2.050,
2011-10,2.126,
2012-01,1.921,
2012-04,1.768,
2012-07,1.564,
2012-10,1.443,
2013-01,1.389,
2013-04,1.312,
2013-07,1.301,
2013-10,1.238,
2014-01,1.186,
2014-04,1.267,
2014-07,1.466,
