"",BBFN1.M.DE.N.1.L.QA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.QA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Qatar,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:15,
1994-12,0.039,
1995-01,0.039,
1995-02,0.047,
1995-03,0.063,
1995-04,0.061,
1995-05,0.076,
1995-06,0.087,
1995-07,0.094,
1995-08,0.097,
1995-09,0.092,
1995-10,0.103,
1995-11,0.091,
1995-12,0.189,
1996-01,0.186,
1996-02,0.170,
1996-03,0.169,
1996-04,0.189,
1996-05,0.190,
1996-06,0.154,
1996-07,0.165,
1996-08,0.165,
1996-09,0.154,
1996-10,0.173,
1996-11,0.171,
1996-12,0.128,
1997-01,0.155,
1997-02,0.152,
1997-03,0.146,
1997-04,0.140,
1997-05,0.141,
1997-06,0.065,
1997-07,0.069,
1997-08,0.062,
1997-09,0.065,
1997-10,0.068,
1997-11,0.067,
1997-12,0.063,
1998-01,0.065,
1998-02,0.065,
1998-03,0.064,
1998-04,0.066,
1998-05,0.067,
1998-06,0.063,
1998-07,0.072,
1998-08,0.053,
1998-09,0.053,
1998-10,0.053,
1998-11,0.054,
1998-12,0.076,
1999-01,0.076,
1999-02,0.084,
1999-03,0.086,
1999-04,0.078,
1999-05,0.090,
1999-06,0.091,
1999-07,0.104,
1999-08,0.100,
1999-09,0.121,
1999-10,0.116,
1999-11,0.157,
1999-12,0.170,
2000-01,0.168,
2000-02,0.185,
2000-03,0.188,
2000-04,0.189,
2000-05,0.235,
2000-06,0.234,
2000-07,0.239,
2000-08,0.243,
2000-09,0.228,
2000-10,0.229,
2000-11,0.226,
2000-12,0.224,
2001-01,0.223,
2001-02,0.227,
2001-03,0.253,
2001-04,0.254,
2001-05,0.243,
2001-06,0.251,
2001-07,0.253,
2001-08,0.136,
2001-09,0.151,
2001-10,0.174,
2001-11,0.173,
2001-12,0.174,
2002-01,0.171,
2002-02,0.174,
2002-03,0.179,
2002-04,0.193,
2002-05,0.201,
2002-06,0.210,
2002-07,0.229,
2002-08,0.244,
2002-09,0.247,
2002-10,0.251,
2002-11,0.278,
2002-12,0.287,
2003-01,0.299,
2003-02,0.283,
2003-03,0.281,
2003-04,0.282,
2003-05,0.274,
2003-06,0.288,
2003-07,0.307,
2003-08,0.347,
2003-09,0.350,
2003-10,0.359,
2003-11,0.233,
2003-12,0.232,
2004-01,0.230,
2004-02,0.225,
2004-03,0.223,
2004-04,0.219,
2004-05,0.215,
2004-06,0.216,
2004-07,0.215,
2004-08,0.211,
2004-09,0.216,
2004-10,0.215,
2004-11,0.222,
2004-12,0.244,
2005-01,0.044,
2005-02,0.081,
2005-03,0.084,
2005-04,0.094,
2005-05,0.103,
2005-06,0.102,
2005-07,0.101,
2005-08,0.112,
2005-09,0.110,
2005-10,0.118,
2005-11,0.152,
2005-12,0.222,
2006-01,0.243,
2006-02,0.279,
2006-03,0.298,
2006-04,0.327,
2006-05,0.349,
2006-06,0.372,
2006-07,0.145,
2006-08,0.196,
2006-09,0.208,
2006-10,0.230,
2006-11,0.277,
2006-12,0.339,
2007-01,0.350,
2007-02,0.381,
2007-03,0.430,
2007-04,0.465,
2007-05,0.529,
2007-06,0.487,
2007-07,0.535,
2007-08,0.572,
2007-09,0.667,
2007-10,0.754,
2007-11,0.827,
2007-12,0.902,
2008-01,0.993,
2008-02,1.000,
2008-03,1.033,
2008-04,1.078,
2008-05,1.142,
2008-06,1.205,
2008-07,1.264,
2008-08,1.320,
2008-09,1.414,
2008-10,1.377,
2008-11,1.289,
2008-12,1.308,
2009-01,1.351,
2009-02,1.333,
2009-03,1.259,
2009-04,1.250,
2009-05,1.306,
2009-06,1.323,
2009-07,1.400,
2009-08,1.237,
2009-09,1.256,
2009-10,1.297,
2009-11,1.290,
2009-12,5.430,
2010-01,5.420,
2010-02,5.432,
2010-03,5.441,
2010-04,5.467,
2010-05,5.467,
2010-06,5.602,
2010-07,5.328,
2010-08,5.380,
2010-09,5.361,
2010-10,5.393,
2010-11,5.569,
2010-12,5.620,
2011-01,5.633,
2011-02,5.673,
2011-03,5.968,
2011-04,5.848,
2011-05,5.869,
2011-06,5.930,
2011-07,5.901,
2011-08,5.935,
2011-09,5.915,
2011-10,5.851,
2011-11,5.766,
2011-12,5.791,
2012-01,5.724,
2012-02,5.726,
2012-03,4.913,
2012-04,4.954,
2012-05,5.011,
2012-06,4.805,
2012-07,4.806,
2012-08,4.807,
2012-09,4.840,
2012-10,4.430,
2012-11,4.439,
2012-12,4.409,
2013-01,4.796,
2013-02,4.792,
2013-03,4.807,
2013-04,5.193,
2013-05,4.934,
2013-06,4.133,
2013-07,3.982,
2013-08,4.115,
2013-09,4.010,
2013-10,4.008,
2013-11,4.046,
2013-12,4.072,
2014-01,4.083,
2014-02,4.086,
2014-03,4.009,
2014-04,4.047,
2014-05,4.056,
2014-06,4.072,
2014-07,3.831,
2014-08,3.977,
2014-09,3.998,
2014-10,4.036,
2014-11,4.032,
2014-12,4.076,
