"",BBK01.OEXI05P,BBK01.OEXI05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:57,
2002-01,0.047,
2002-04,0.036,
2002-07,0.046,
2002-10,0.034,
2003-01,0.035,
2003-04,0.028,
2003-07,0.023,
2003-10,0.018,
2004-01,0.016,
2004-04,0.015,
2004-07,0.019,
2004-10,0.017,
2005-01,0.018,
2005-04,0.016,
2005-07,0.024,
2005-10,0.024,
2006-01,0.024,
2006-04,0.036,
2006-07,0.036,
2006-10,0.062,
2007-01,0.077,
2007-04,0.078,
2007-07,0.078,
2007-10,0.080,
2008-01,0.077,
2008-04,0.082,
2008-07,0.077,
2008-10,0.081,
2009-01,0.086,
2009-04,0.091,
2009-07,0.090,
2009-10,0.091,
2010-01,0.093,
2010-04,0.095,
2010-07,0.097,
2010-10,0.095,
2011-01,0.108,
2011-04,0.109,
2011-07,0.106,
2011-10,0.108,
2012-01,0.107,
2012-04,0.106,
2012-07,0.100,
2012-10,0.098,
2013-01,0.099,
2013-04,0.101,
2013-07,0.101,
2013-10,0.098,
2014-01,0.098,
2014-04,0.126,
2014-07,0.123,
