"",BBK01.OEAA40L,BBK01.OEAA40L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:31,
2002-01,1.239,
2002-04,1.131,
2002-07,1.099,
2002-10,1.055,
2003-01,1.061,
2003-04,1.061,
2003-07,1.107,
2003-10,1.116,
2004-01,1.095,
2004-04,1.045,
2004-07,1.015,
2004-10,0.993,
2005-01,0.928,
2005-04,0.914,
2005-07,0.873,
2005-10,0.879,
2006-01,0.701,
2006-04,0.694,
2006-07,0.882,
2006-10,0.921,
2007-01,0.912,
2007-04,0.979,
2007-07,1.018,
2007-10,1.020,
2008-01,1.004,
2008-04,0.975,
2008-07,1.330,
2008-10,1.342,
2009-01,1.290,
2009-04,0.806,
2009-07,0.793,
2009-10,0.777,
2010-01,0.738,
2010-04,0.412,
2010-07,0.489,
2010-10,0.471,
2011-01,0.490,
2011-04,0.473,
2011-07,0.466,
2011-10,0.425,
2012-01,0.274,
2012-04,0.260,
2012-07,0.230,
2012-10,0.222,
2013-01,0.380,
2013-04,0.213,
2013-07,0.209,
2013-10,0.202,
2014-01,0.194,
2014-04,0.178,
2014-07,0.163,
