"",BBK01.OEAH26I,BBK01.OEAH26I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:29,
2002-01,13.136,
2002-04,12.466,
2002-07,12.368,
2002-10,12.640,
2003-01,12.846,
2003-04,12.757,
2003-07,12.747,
2003-10,12.823,
2004-01,12.717,
2004-04,12.524,
2004-07,12.454,
2004-10,12.622,
2005-01,15.199,
2005-04,15.070,
2005-07,15.034,
2005-10,15.232,
2006-01,15.120,
2006-04,14.952,
2006-07,14.672,
2006-10,14.703,
2007-01,14.837,
2007-04,14.746,
2007-07,14.804,
2007-10,14.976,
2008-01,14.890,
2008-04,14.917,
2008-07,14.761,
2008-10,15.782,
2009-01,15.835,
2009-04,15.256,
2009-07,14.999,
2009-10,14.836,
2010-01,13.891,
2010-04,13.539,
2010-07,12.909,
2010-10,12.868,
2011-01,12.457,
2011-04,12.172,
2011-07,11.998,
2011-10,11.953,
2012-01,12.064,
2012-04,11.889,
2012-07,11.824,
2012-10,11.891,
2013-01,11.757,
2013-04,11.711,
2013-07,11.564,
2013-10,11.523,
2014-01,11.365,
2014-04,11.244,
2014-07,11.283,
