"",BBK01.OEAA29I,BBK01.OEAA29I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:17,
2002-01,12.701,
2002-04,12.498,
2002-07,11.787,
2002-10,11.665,
2003-01,11.472,
2003-04,11.260,
2003-07,11.204,
2003-10,10.913,
2004-01,10.741,
2004-04,10.636,
2004-07,10.869,
2004-10,10.631,
2005-01,10.585,
2005-04,10.488,
2005-07,10.506,
2005-10,10.135,
2006-01,10.355,
2006-04,10.708,
2006-07,10.399,
2006-10,10.295,
2007-01,10.137,
2007-04,9.995,
2007-07,9.826,
2007-10,9.350,
2008-01,9.410,
2008-04,9.347,
2008-07,9.261,
2008-10,9.068,
2009-01,9.036,
2009-04,9.865,
2009-07,9.767,
2009-10,9.670,
2010-01,9.458,
2010-04,9.049,
2010-07,8.956,
2010-10,8.787,
2011-01,8.900,
2011-04,8.836,
2011-07,8.752,
2011-10,8.641,
2012-01,8.532,
2012-04,9.922,
2012-07,9.930,
2012-10,9.890,
2013-01,9.857,
2013-04,9.876,
2013-07,9.965,
2013-10,10.047,
2014-01,10.122,
2014-04,10.108,
2014-07,10.129,
