"",BBK01.OEAH19H,BBK01.OEAH19H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:50,
2002-01,92.262,
2002-04,90.610,
2002-07,90.150,
2002-10,91.264,
2003-01,91.829,
2003-04,91.611,
2003-07,90.604,
2003-10,95.933,
2004-01,94.956,
2004-04,95.321,
2004-07,94.494,
2004-10,94.384,
2005-01,97.721,
2005-04,96.445,
2005-07,95.484,
2005-10,94.645,
2006-01,93.788,
2006-04,93.304,
2006-07,93.510,
2006-10,95.177,
2007-01,96.197,
2007-04,96.687,
2007-07,97.215,
2007-10,99.457,
2008-01,108.799,
2008-04,110.773,
2008-07,111.182,
2008-10,122.238,
2009-01,122.540,
2009-04,121.298,
2009-07,129.270,
2009-10,129.101,
2010-01,126.984,
2010-04,125.256,
2010-07,123.814,
2010-10,136.256,
2011-01,129.573,
2011-04,127.086,
2011-07,125.829,
2011-10,124.163,
2012-01,122.214,
2012-04,120.751,
2012-07,119.987,
2012-10,117.401,
2013-01,115.606,
2013-04,114.216,
2013-07,107.647,
2013-10,106.907,
2014-01,106.947,
2014-04,104.894,
2014-07,104.340,
