"",BBEX3.M.PHP.USD.CA.AB.A01,BBEX3.M.PHP.USD.CA.AB.A01_FLAGS
2000-12,50.60433,
2001-01,49.97802,
2001-02,48.78431,
2001-03,49.96032,
2001-04,51.86882,
2001-05,51.02116,
2001-06,52.96906,
2001-07,54.07839,
2001-08,51.54350,
2001-09,51.87791,
2001-10,52.48612,
2001-11,52.55685,
2001-12,52.33458,
2002-01,51.72838,
2002-02,51.77890,
2002-03,51.49608,
2002-04,50.94581,
2002-05,50.42577,
2002-06,50.93674,
2002-07,51.59586,
2002-08,52.25599,
2002-09,52.82037,
2002-10,53.63873,
2002-11,54.01969,
2002-12,53.67098,
2003-01,54.25854,
2003-02,54.91867,
2003-03,54.02330,
2003-04,53.02395,
2003-05,53.64679,
2003-06,53.94108,
2003-07,55.16257,
2003-08,55.37724,
2003-09,55.30669,
2003-10,55.76928,
2003-11,56.15528,
2003-12,56.02124,
2004-01,56.40220,
2004-02,56.77308,
2004-03,56.65617,
2004-04,56.47275,
2004-05,56.24397,
2004-06,56.61586,
2004-07,56.43445,
2004-08,56.58663,
2004-09,56.71664,
2004-10,56.78114,
2004-11,56.60074,
2004-12,56.78215,
2005-01,55.52841,
2005-02,55.11318,
2005-03,55.17567,
2005-04,54.75742,
2005-05,54.91565,
2005-06,56.61687,
2005-07,56.60175,
2005-08,56.70152,
2005-09,56.41530,
2005-10,55.37018,
2005-11,54.57399,
2005-12,53.50569,
2006-01,52.57849,
2006-02,52.05442,
2006-03,51.52531,
2006-04,52.19048,
2006-05,53.27389,
2006-06,53.52585,
2006-07,51.88309,
2006-08,51.19272,
2006-09,50.60314,
2006-10,50.23025,
2006-11,50.11435,
2006-12,49.41390,
2007-01,49.28289,
2007-02,48.92007,
2007-03,48.65803,
2007-04,47.98279,
2007-05,46.66253,
2007-06,46.60206,
2007-07,45.69501,
2007-08,46.91449,
2007-09,45.39266,
2007-10,44.01698,
2007-11,43.08473,
2007-12,41.60322,
2008-01,40.86751,
2008-02,40.77176,
2008-03,42.08698,
2008-04,42.59594,
2008-05,44.09256,
2008-06,45.25157,
2008-07,44.49569,
2008-08,46.28459,
2008-09,47.41840,
2008-10,49.32320,
2008-11,49.34336,
2008-12,47.89208,
2009-01,47.76106,
2009-02,49.18210,
2009-03,48.70842,
2009-04,48.72858,
2009-05,47.72075,
2009-06,48.50686,
2009-07,48.46654,
2009-08,49.18210,
2009-09,47.76106,
2009-10,48.00294,
2009-11,47.57462,
2009-12,46.56175,
2010-01,46.86410,
2010-02,46.49120,
2010-03,45.52368,
2010-04,44.80812,
2010-05,46.61214,
2010-06,46.73308,
2010-07,45.89658,
2010-08,45.72525,
2010-09,44.22358,
2010-10,43.34677,
2010-11,44.34452,
2010-12,44.18327,
2011-01,44.61663,
2011-02,43.90611,
2011-03,43.72974,
2011-04,43.13512,
2011-05,43.58865,
2011-06,43.66927,
2011-07,42.46996,
2011-08,42.61105,
2011-09,44.06233,
2011-10,42.95371,
2011-11,43.98170,
2011-12,44.18327,
2012-01,43.20567,
2012-02,43.08473,
2012-03,43.25606,
2012-04,42.53547,
2012-05,43.84061,
2012-06,42.44980,
2012-07,42.04667,
2012-08,42.38933,
2012-09,42.02651,
2012-10,41.50244,
2012-11,41.22025,
2012-12,42.07625,
2013-01,41.70213,
2013-02,41.67650,
2013-03,41.33040,
2013-04,41.69002,
2013-05,42.80938,
2013-06,43.76160,
2013-07,43.98446,
2013-08,45.18487,
2013-09,44.10602,
2013-10,43.77173,
2013-11,44.32888,
2013-12,44.97214,
2014-01,45.90916,
2014-02,45.21019,
2014-03,45.39760,
2014-04,45.17980,
2014-05,44.32888,
2014-06,44.21745,
2014-07,44.02498,
2014-08,43.89513,
2014-09,45.25644,
2014-10,45.26148,
2014-11,45.27157,
2014-12,45.10012,
2015-01,44.45468,
"","Source: Since 1986 The Hongkong and Shanghai Banking Corporation, Manila 1985 Citibank, Manila",
