"",BBK01.OEYM02M,BBK01.OEYM02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:39,
2002-01,0.217,
2002-04,0.249,
2002-07,0.178,
2002-10,0.361,
2003-01,0.274,
2003-04,0.303,
2003-07,0.255,
2003-10,0.380,
2004-01,0.267,
2004-04,0.306,
2004-07,0.194,
2004-10,0.194,
2005-01,0.173,
2005-04,0.275,
2005-07,0.234,
2005-10,0.400,
2006-01,0.285,
2006-04,0.414,
2006-07,0.334,
2006-10,0.374,
2007-01,0.643,
2007-04,0.601,
2007-07,0.349,
2007-10,0.406,
2008-01,0.528,
2008-04,0.376,
2008-07,0.502,
2008-10,1.569,
2009-01,0.813,
2009-04,1.527,
2009-07,1.370,
2009-10,0.795,
2010-01,0.467,
2010-04,1.287,
2010-07,1.140,
2010-10,1.385,
2011-01,1.002,
2011-04,1.647,
2011-07,1.745,
2011-10,1.063,
2012-01,1.724,
2012-04,2.398,
2012-07,1.772,
2012-10,0.643,
2013-01,0.746,
2013-04,0.488,
2013-07,0.487,
2013-10,0.917,
2014-01,1.398,
2014-04,0.837,
2014-07,0.907,
